,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group12_PT_0,Group12_PT_0.01,Group12_PT_0.02,Group12_PT_0.03,Group12_PT_0.04,Group12_PT_0.05,Group12_PT_0.06,Group12_PT_0.07,Group12_PT_0.08,Group12_PT_0.09,Group12_PT_0.1,Group12_PT_0.11,Group12_PT_0.12,Group12_PT_0.13,Group12_PT_0.14,Group12_PT_0.15,Group12_PT_0.16,Group12_PT_0.17,Group12_PT_0.18,Group12_PT_0.19,Group12_PT_0.2,Group12_PT_0.21,Group12_PT_0.22,Group12_PT_0.23,Group12_PT_0.24,Group12_PT_0.25,Group12_PT_0.26,Group12_PT_0.27,Group12_PT_0.28,Group12_PT_0.29,Group12_PT_0.3,Group12_PT_0.31,Group12_PT_0.32,Group12_PT_0.33,Group12_PT_0.34,Group12_PT_0.35,Group12_PT_0.36,Group12_PT_0.37,Group12_PT_0.38,Group12_PT_0.39,Group12_PT_0.4,Group12_PT_0.41,Group12_PT_0.42,Group12_PT_0.43,Group12_PT_0.44,Group12_PT_0.45,Group12_PT_0.46,Group12_PT_0.47,Group12_PT_0.48,Group12_PT_0.49,Group12_PT_0.5,Group12_PT_0.51,Group12_PT_0.52,Group12_PT_0.53,Group12_PT_0.54,Group12_PT_0.55,Group12_PT_0.56,Group12_PT_0.57,Group12_PT_0.58,Group12_PT_0.59,Group12_PT_0.6,Group12_PT_0.61,Group12_PT_0.62,Group12_PT_0.63,Group12_PT_0.64,Group12_PT_0.65,Group12_PT_0.66,Group12_PT_0.67,Group12_PT_0.68,Group12_PT_0.69,Group12_PT_0.7,Group12_PT_0.71,Group12_PT_0.72,Group12_PT_0.73,Group12_PT_0.74,Group12_PT_0.75,Group12_PT_0.76,Group12_PT_0.77,Group12_PT_0.78,Group12_PT_0.79,Group12_PT_0.8,Group12_PT_0.81,Group12_PT_0.82,Group12_PT_0.83,Group12_PT_0.84,Group12_PT_0.85,Group12_PT_0.86,Group12_PT_0.87,Group12_PT_0.88,Group12_PT_0.89,Group12_PT_0.9,Group12_PT_0.91,Group12_PT_0.92,Group12_PT_0.93,Group12_PT_0.94,Group12_PT_0.95,Group12_PT_0.96,Group12_PT_0.97,Group12_PT_0.98,Group12_PT_0.99,Group12_PT_1
0,HGF,0,0,32.378,1.6014e-06,0.01199,0.4502551,0.4471035,0.4439616,0.4408392,0.4377458,0.4346912,0.431685,0.428737,0.4258572,0.4230547,0.4203395,0.4177213,0.4152098,0.41281466,0.4105456,0.40841226,0.40642441,0.40459172,0.4029239,0.4014306,0.40012158,0.3990065,0.3980951,0.39739701,0.396922,0.3966797,0.39668,0.3969321,0.39743,0.3981009,0.3988375,0.39954,0.400107,0.4004358,0.4004258,0.3999748,0.3989813,0.3973435,0.3949597,0.391728,0.387547,0.382315,0.3759308,0.3682916,0.359296,0.34887,0.337076,0.32402,0.3098088,0.29455,0.2783491,0.2613136,0.2435498,0.2251645,0.20626417,0.1869556,0.167345,0.1475403,0.12764688,0.1077718,0.08802177,0.06850339,0.04932336,0.0305883,0.012405,-0.0051202,-0.0218803,-0.0377688,-0.0526902,-0.066635,-0.079634,-0.091717,-0.1029156,-0.1132592,-0.122779,-0.131505,-0.1394678,-0.14669833,-0.1532269,-0.159084,-0.1643002,-0.168906,-0.1729318,-0.176408,-0.179366,-0.1818354,-0.183847,-0.1854312,-0.1866186,-0.18744,-0.187925,-0.188106,-0.188011,-0.187673,-0.187121,-0.186385,-0.185497,-0.1844875,-0.183386,-0.182223,-0.1810302
1,RPL35A,0,0,34.568,5.6989e-07,0.004269,0.2373766,0.2274208,0.2174969,0.2076369,0.1978728,0.1882365,0.17876,0.169475,0.1604143,0.151609,0.1430913,0.1348932,0.1270467,0.11958365,0.1125361,0.10593597,0.09981524,0.09420585,0.0891398,0.08464898,0.0807654,0.077521,0.0749478,0.07307764,0.0719426,0.0715745,0.072005,0.0732674,0.075367,0.0781823,0.0815501,0.0853073,0.089291,0.0933367,0.0972826,0.100965,0.1042207,0.10688656,0.1087993,0.109796,0.109713,0.108387,0.1056556,0.10135501,0.095322,0.087431,0.077746,0.066393,0.0534958,0.039181,0.0235727,0.0067969,-0.0110215,-0.0297572,-0.04928515,-0.06948,-0.090217,-0.1113698,-0.13281438,-0.1544251,-0.17607668,-0.19764404,-0.21900193,-0.2400251,-0.260588,-0.2805668,-0.2998347,-0.3182672,-0.3357518,-0.352273,-0.367862,-0.382547,-0.3963589,-0.4093282,-0.421485,-0.432859,-0.4434799,-0.45337872,-0.4625852,-0.471129,-0.4790413,-0.486351,-0.4930893,-0.499285,-0.50497,-0.5101725,-0.514924,-0.5192535,-0.5231919,-0.526769,-0.530015,-0.53296,-0.535634,-0.538067,-0.54029,-0.542332,-0.544223,-0.5459943,-0.547675,-0.549295,-0.5508858
2,LRRC75A.AS1,0,0,31.434,2.4969e-06,0.018682,0.037745,0.0364856,0.0352081,0.0338943,0.0325261,0.0310853,0.029554,0.027913,0.0261459,0.0242333,0.0221574,0.0199,0.017443,0.01476825,0.0118576,0.00869295,0.00525609,0.00152889,-0.0025068,-0.00686908,-0.01157615,-0.0166461,-0.0220972,-0.02794744,-0.0342151,-0.0409182,-0.048075,-0.0557035,-0.063813,-0.0723625,-0.0812983,-0.090565,-0.100107,-0.1098707,-0.1197997,-0.1298395,-0.1399349,-0.15003091,-0.1600726,-0.170005,-0.179773,-0.189321,-0.1985949,-0.20753915,-0.216099,-0.2242313,-0.231957,-0.239315,-0.2463478,-0.253094,-0.2595949,-0.2658903,-0.2720208,-0.2780266,-0.28394821,-0.2898259,-0.2957,-0.3016109,-0.30759896,-0.3137045,-0.31996781,-0.32642933,-0.33312936,-0.3401083,-0.347406,-0.3550641,-0.3631217,-0.3716195,-0.3805934,-0.390045,-0.399958,-0.410319,-0.4211129,-0.4323242,-0.443938,-0.45594,-0.468315,-0.48104776,-0.4941236,-0.507528,-0.521245,-0.535261,-0.5495596,-0.564127,-0.578948,-0.594008,-0.609292,-0.6247839,-0.6404702,-0.656335,-0.672365,-0.688543,-0.704856,-0.721288,-0.737825,-0.754451,-0.771151,-0.7879115,-0.804717,-0.821551,-0.8384011
3,RPL7,0,0,33.22,1.077e-06,0.0080647,0.3748526,0.3673896,0.3599316,0.3524837,0.3450509,0.3376382,0.330251,0.322894,0.3155717,0.3082902,0.301054,0.2938682,0.2867378,0.279668,0.2726637,0.26572994,0.25887182,0.25209434,0.2454026,0.23880153,0.23229627,0.2258918,0.2195933,0.21340557,0.2073338,0.2013831,0.195558,0.1898647,0.1843,0.178842,0.173449,0.1680865,0.162718,0.1573071,0.1518175,0.146213,0.140457,0.13451321,0.1283453,0.121917,0.115192,0.108133,0.1007051,0.09287101,0.084595,0.0758477,0.066644,0.057009,0.04697,0.036554,0.0257866,0.0146953,0.0033063,-0.0083538,-0.02025834,-0.0323807,-0.044694,-0.0571728,-0.06978926,-0.0825172,-0.09533006,-0.10820121,-0.12110407,-0.134012,-0.146899,-0.1597369,-0.1725007,-0.1851631,-0.1977003,-0.210107,-0.222388,-0.234547,-0.2465871,-0.2585138,-0.27033,-0.282041,-0.2936505,-0.30516195,-0.3165798,-0.327908,-0.3391509,-0.350312,-0.3613963,-0.372407,-0.383349,-0.3942252,-0.405041,-0.4157991,-0.4265046,-0.437161,-0.447773,-0.458344,-0.468879,-0.479381,-0.489854,-0.500304,-0.510732,-0.5211448,-0.531545,-0.541937,-0.5523251
4,NAP1L1,0,0,46.948,1.5635e-09,1.176e-05,0.8061259,0.8037838,0.8014323,0.7990621,0.7966639,0.7942284,0.791746,0.789208,0.7866043,0.7839259,0.7811635,0.7783078,0.7753492,0.77227864,0.7690866,0.76576391,0.76230108,0.75868883,0.7549178,0.75097869,0.74686213,0.7425588,0.7380593,0.7333544,0.7284347,0.7232908,0.717913,0.7122933,0.70642,0.7002579,0.6937791,0.6869473,0.679728,0.6720872,0.6639902,0.6554028,0.6462907,0.63661951,0.626355,0.615463,0.603909,0.591658,0.5786768,0.56493052,0.550385,0.5350191,0.51888,0.502037,0.4845595,0.466516,0.4479753,0.4290069,0.4096798,0.390063,0.37022558,0.3502365,0.330165,0.3100798,0.29005018,0.2701452,0.2504338,0.23098511,0.21186814,0.193152,0.174906,0.1571981,0.1400985,0.1236759,0.1079917,0.09305,0.078827,0.0653,0.052445,0.04024,0.028661,0.017686,0.0072897,-0.00254938,-0.011855,-0.02065,-0.0289586,-0.036803,-0.0442066,-0.051193,-0.057784,-0.0640051,-0.069878,-0.0754259,-0.0806724,-0.085641,-0.090353,-0.094835,-0.099107,-0.103194,-0.107118,-0.110903,-0.114572,-0.1181487,-0.121656,-0.125116,-0.1285532
5,RPS8,0,0,35.988,2.9108e-07,0.0021825,0.3033182,0.2971529,0.2910018,0.2848793,0.2787997,0.2727772,0.266826,0.260961,0.2551955,0.2495445,0.2440221,0.2386425,0.2334201,0.2283692,0.223504,0.21883882,0.21438796,0.21016569,0.2061863,0.20246411,0.19901336,0.1958484,0.1929834,0.19043277,0.1882107,0.1863316,0.18481,0.1836592,0.18288,0.1824238,0.1822062,0.182154,0.182191,0.1822427,0.1822318,0.1820829,0.1817201,0.18106758,0.1800494,0.17859,0.176613,0.174042,0.1708025,0.16681789,0.162012,0.1563247,0.149769,0.142384,0.1342078,0.125278,0.1156342,0.1053134,0.0943545,0.0827955,0.07067486,0.0580308,0.044901,0.0313253,0.01734048,0.0029853,-0.011702,-0.02668313,-0.041919819999999997,-0.0573738,-0.073007,-0.0887806,-0.1046569,-0.1205974,-0.136567,-0.152554,-0.168558,-0.184578,-0.2006147,-0.2166662,-0.232732,-0.248813,-0.264907,-0.28101415,-0.2971339,-0.313266,-0.3294089,-0.345563,-0.3617275,-0.377902,-0.394085,-0.4102778,-0.426478,-0.4426865,-0.4589018,-0.475124,-0.491351,-0.507585,-0.523823,-0.540065,-0.556312,-0.572562,-0.588814,-0.6050685,-0.621325,-0.637582,-0.6538399
6,RPL26,0,0,32.15,1.7828e-06,0.013346,0.5326136,0.5166333,0.5006787,0.4847754,0.4689491,0.4532255,0.43763,0.422189,0.4069274,0.3918712,0.377046,0.3624775,0.3481914,0.33421327,0.3205689,0.30728383,0.29438384,0.28189456,0.2698417,0.2582508,0.24714766,0.2365579,0.2265072,0.21702124,0.2081257,0.1998461,0.192208,0.185238,0.17895,0.1732733,0.1681343,0.1634458,0.159124,0.1550846,0.1512441,0.1475186,0.1438242,0.14007692,0.136193,0.132089,0.12768,0.122882,0.1176131,0.11178766,0.105322,0.0981496,0.090286,0.081775,0.0726601,0.062984,0.0527909,0.0421235,0.0310254,0.0195399,0.00771036,-0.0044199,-0.016807,-0.029409,-0.04218117,-0.0550807,-0.06806409,-0.08108812,-0.0941094,-0.1070846,-0.11997,-0.1327233,-0.1453,-0.1576573,-0.169756,-0.181589,-0.193166,-0.204493,-0.2155799,-0.2264345,-0.237065,-0.24748,-0.2576878,-0.26769633,-0.2775141,-0.287149,-0.2966106,-0.305906,-0.3150435,-0.324032,-0.332879,-0.3415938,-0.350184,-0.3586581,-0.3670244,-0.375291,-0.383467,-0.391559,-0.399577,-0.407529,-0.415422,-0.423266,-0.431068,-0.4388371,-0.446581,-0.454309,-0.4620282
7,RPL13,0,0,37.341,1.5319e-07,0.0011491,0.4891168,0.4777714,0.466439,0.4551326,0.4438652,0.4326498,0.421499,0.410427,0.399446,0.3885688,0.3778086,0.3671786,0.3566916,0.34636063,0.3361988,0.32621905,0.3164344,0.30685785,0.2975024,0.2883811,0.2795069,0.2708928,0.2625519,0.25449712,0.2467415,0.239298,0.23218,0.2253995,0.21896,0.212839,0.2069831,0.2013517,0.195901,0.1905875,0.1853671,0.1801963,0.1750312,0.16982805,0.1645431,0.159133,0.153553,0.14776,0.1417102,0.13535982,0.128665,0.1215894,0.114133,0.106306,0.0981216,0.08959,0.0807243,0.0715346,0.0620329,0.0522307,0.04213945,0.0317708,0.021136,0.010247,-0.00088496,-0.0122484,-0.02383164,-0.03562329,-0.04761179,-0.0597856,-0.072133,-0.0846432,-0.097304,-0.110104,-0.1230323,-0.136083,-0.149252,-0.162536,-0.1759307,-0.1894324,-0.203037,-0.216742,-0.2305413,-0.24443288,-0.2584123,-0.272476,-0.2866196,-0.30084,-0.3151327,-0.329494,-0.343921,-0.3584088,-0.372954,-0.3875525,-0.4022008,-0.416895,-0.431631,-0.446406,-0.461214,-0.476054,-0.49092,-0.505809,-0.520717,-0.5356407,-0.550576,-0.565518,-0.5804647
8,RPL14,0,0,40.91,2.8057e-08,0.00021068,0.3624941,0.3522898,0.3420881,0.3318916,0.3217029,0.3115247,0.301359,0.29121,0.2810784,0.2709679,0.2608808,0.2508197,0.2407873,0.2307861,0.2208188,0.21088792,0.20099613,0.191146,0.1813401,0.17158116,0.16187166,0.1522142,0.1426115,0.13306609,0.1235806,0.1141575,0.1048,0.0955094,0.086287,0.077122,0.0679989,0.0589032,0.04982,0.0407343,0.0316317,0.0224971,0.0133158,0.00407302,-0.0052461,-0.014656,-0.024173,-0.03381,-0.0435822,-0.05350511,-0.063593,-0.0738583,-0.084297,-0.0949,-0.1056584,-0.116565,-0.1276095,-0.1387844,-0.1500807,-0.1614898,-0.17300291,-0.1846115,-0.196307,-0.2080805,-0.21992353,-0.2318275,-0.24378365,-0.25578341,-0.2678181,-0.2798791,-0.291958,-0.3040454,-0.3161333,-0.3282131,-0.3402766,-0.352322,-0.364349,-0.37636,-0.3883535,-0.4003312,-0.412294,-0.424241,-0.4361741,-0.44809354,-0.4599998,-0.471893,-0.4837752,-0.495645,-0.5075048,-0.519354,-0.531193,-0.5430234,-0.554845,-0.5666586,-0.5784648,-0.590264,-0.602057,-0.613844,-0.625627,-0.637404,-0.649178,-0.660948,-0.672715,-0.6844802,-0.696244,-0.708006,-0.7197672
9,HSPB1,0,0,45.955,2.5168e-09,1.8929e-05,0.5443452,0.5426947,0.5410137,0.5392713,0.5374371,0.5354803,0.53337,0.531076,0.5285682,0.5258148,0.5227857,0.5194502,0.5157777,0.51173754,0.5072991,0.50243173,0.49710481,0.49128768,0.4849497,0.47806029,0.47058874,0.4625044,0.4537768,0.44437505,0.4342687,0.423427,0.411819,0.3994152,0.3862,0.3722592,0.3576965,0.3426231,0.327148,0.3113815,0.295432,0.2794091,0.2634222,0.24758051,0.2319935,0.21677,0.202021,0.187853,0.1743782,0.16170424,0.149941,0.1391726,0.129357,0.12041,0.1122495,0.104792,0.0979534,0.0916515,0.0858028,0.0803241,0.07513207,0.0701436,0.065275,0.0604444,0.05556724,0.0505608,0.04534177,0.03982703,0.03393334,0.0275775,0.020676,0.0131464,0.0049048,-0.0041318,-0.0140376,-0.024817,-0.036444,-0.04889,-0.0621286,-0.076132,-0.090873,-0.106324,-0.1224582,-0.13924803,-0.1566661,-0.174685,-0.193278,-0.212417,-0.2320754,-0.252225,-0.27284,-0.293891,-0.315352,-0.3371959,-0.3593947,-0.381921,-0.404748,-0.427849,-0.451195,-0.474759,-0.498515,-0.522435,-0.546492,-0.5706574,-0.594905,-0.619207,-0.6435369
