,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group9_PT_0,Group9_PT_0.01,Group9_PT_0.02,Group9_PT_0.03,Group9_PT_0.04,Group9_PT_0.05,Group9_PT_0.06,Group9_PT_0.07,Group9_PT_0.08,Group9_PT_0.09,Group9_PT_0.1,Group9_PT_0.11,Group9_PT_0.12,Group9_PT_0.13,Group9_PT_0.14,Group9_PT_0.15,Group9_PT_0.16,Group9_PT_0.17,Group9_PT_0.18,Group9_PT_0.19,Group9_PT_0.2,Group9_PT_0.21,Group9_PT_0.22,Group9_PT_0.23,Group9_PT_0.24,Group9_PT_0.25,Group9_PT_0.26,Group9_PT_0.27,Group9_PT_0.28,Group9_PT_0.29,Group9_PT_0.3,Group9_PT_0.31,Group9_PT_0.32,Group9_PT_0.33,Group9_PT_0.34,Group9_PT_0.35,Group9_PT_0.36,Group9_PT_0.37,Group9_PT_0.38,Group9_PT_0.39,Group9_PT_0.4,Group9_PT_0.41,Group9_PT_0.42,Group9_PT_0.43,Group9_PT_0.44,Group9_PT_0.45,Group9_PT_0.46,Group9_PT_0.47,Group9_PT_0.48,Group9_PT_0.49,Group9_PT_0.5,Group9_PT_0.51,Group9_PT_0.52,Group9_PT_0.53,Group9_PT_0.54,Group9_PT_0.55,Group9_PT_0.56,Group9_PT_0.57,Group9_PT_0.58,Group9_PT_0.59,Group9_PT_0.6,Group9_PT_0.61,Group9_PT_0.62,Group9_PT_0.63,Group9_PT_0.64,Group9_PT_0.65,Group9_PT_0.66,Group9_PT_0.67,Group9_PT_0.68,Group9_PT_0.69,Group9_PT_0.7,Group9_PT_0.71,Group9_PT_0.72,Group9_PT_0.73,Group9_PT_0.74,Group9_PT_0.75,Group9_PT_0.76,Group9_PT_0.77,Group9_PT_0.78,Group9_PT_0.79,Group9_PT_0.8,Group9_PT_0.81,Group9_PT_0.82,Group9_PT_0.83,Group9_PT_0.84,Group9_PT_0.85,Group9_PT_0.86,Group9_PT_0.87,Group9_PT_0.88,Group9_PT_0.89,Group9_PT_0.9,Group9_PT_0.91,Group9_PT_0.92,Group9_PT_0.93,Group9_PT_0.94,Group9_PT_0.95,Group9_PT_0.96,Group9_PT_0.97,Group9_PT_0.98,Group9_PT_0.99,Group9_PT_1
0,MARCKSL1,0,0,37.467,1.4431e-07,0.0010738,0.34418648,0.3354643,0.3267346,0.3179902,0.3092235,0.3004272,0.2915939,0.2827161,0.27378642,0.26479752,0.25574194,0.2466145,0.23741688,0.2281521,0.2188232,0.2094331,0.199985,0.1904817,0.1809264,0.1713221,0.1616718,0.1519784,0.14224514,0.13247487,0.1226707,0.11283556,0.1029726,0.0930847,0.083175,0.0732464,0.0633021,0.053345,0.043378,0.033404,0.023427,0.0134489,0.0034731,-0.0064973,-0.01645939,-0.0264101,-0.0363464,-0.0462652,-0.0561637,-0.06603864,-0.0758871,-0.0857061,-0.0954925,-0.1052435,-0.11495579,-0.12462654,-0.1342527,-0.1438312,-0.15335904,-0.1628332,-0.1722507,-0.1816085,-0.1909035,-0.2001328,-0.2092934,-0.2183821,-0.227396,-0.236332,-0.2451872,-0.2539586,-0.26264298,-0.2712346,-0.27971253,-0.2880512,-0.2962251,-0.3042085,-0.31197587,-0.31950159,-0.32676006,-0.3337257,-0.34037285,-0.34667597,-0.3526094,-0.358148,-0.363265,-0.36793597,-0.3721348,-0.3758361,-0.379014,-0.381643,-0.3836978,-0.385152,-0.385984,-0.386209,-0.3858686,-0.385007,-0.383668,-0.381895,-0.379731,-0.37722,-0.374405,-0.371329,-0.3680355,-0.364569,-0.360972,-0.357288,-0.35356
1,MIF,0,0,31.234,2.7431e-06,0.020348,0.1860041,0.1743879,0.1627788,0.1511841,0.139611,0.1280666,0.1165582,0.1050928,0.09367773,0.08232013,0.07102719,0.0598049,0.04865531,0.0375799,0.0265801,0.0156572,0.0048127,-0.0059521,-0.0166356,-0.0272366,-0.0377537,-0.0481853,-0.05853021,-0.06878692,-0.0789541,-0.08903021,-0.099014,-0.108904,-0.1186988,-0.128397,-0.1379973,-0.147498,-0.1568982,-0.166196,-0.1753904,-0.1844797,-0.1934626,-0.2023377,-0.21110358,-0.2197589,-0.2283022,-0.2367321,-0.2450472,-0.25324615,-0.2613275,-0.2692898,-0.2771317,-0.2848517,-0.29244861,-0.29992087,-0.3072671,-0.314486,-0.32157598,-0.3285358,-0.335364,-0.3420591,-0.3486199,-0.3550448,-0.3613325,-0.3674816,-0.3734906,-0.3793582,-0.385083,-0.3906635,-0.39609847,-0.4013875,-0.40653641,-0.4115528,-0.4164443,-0.4212185,-0.42588305,-0.43044562,-0.43491383,-0.4392953,-0.44359764,-0.4478285,-0.4519955,-0.456106,-0.4601685,-0.46418975,-0.4681777,-0.4721399,-0.476084,-0.480018,-0.4839486,-0.487884,-0.491832,-0.495794,-0.4997704,-0.503759,-0.507759,-0.511769,-0.515789,-0.519817,-0.523853,-0.527895,-0.5319419,-0.535993,-0.540048,-0.544104,-0.548162
2,NAP1L1,0,0,41.842,1.7991e-08,0.00013409,-0.00037411,-0.0053972,-0.0104559,-0.0155855,-0.0208218,-0.0262002,-0.0317561,-0.0375252,-0.04354302,-0.04984498,-0.05646666,-0.0634332,-0.07073775,-0.078367,-0.0863077,-0.0945467,-0.1030708,-0.1118667,-0.1209212,-0.1302211,-0.1397532,-0.1495042,-0.15946104,-0.16961035,-0.179939,-0.19043366,-0.2010812,-0.2118684,-0.222782,-0.2338089,-0.2449357,-0.256149,-0.2674363,-0.278784,-0.2901783,-0.3016068,-0.3130559,-0.3245124,-0.33596317,-0.3473949,-0.3587945,-0.3701486,-0.3814441,-0.39266774,-0.4038063,-0.4148465,-0.4257751,-0.4365791,-0.44724504,-0.45775981,-0.4681102,-0.4782829,-0.48826481,-0.4980426,-0.5076032,-0.5169332,-0.5260195,-0.5348489,-0.5434081,-0.5516839,-0.5596631,-0.5673325,-0.5746788,-0.5816889,-0.58834952,-0.5946536,-0.60062543,-0.6062997,-0.6117108,-0.6168933,-0.62188163,-0.6267104,-0.63141409,-0.6360272,-0.64058425,-0.64511975,-0.6496682,-0.654264,-0.6589421,-0.66373646,-0.6686819,-0.6738128,-0.6791638,-0.684769,-0.6906638,-0.696882,-0.703456,-0.710384,-0.7176419,-0.725204,-0.733045,-0.74114,-0.749463,-0.757989,-0.766693,-0.775548,-0.7845307,-0.793615,-0.802775,-0.811985,-0.821221
3,BTF3,1,0,35.228,4.1695e-07,0.0030996,0.10266212,0.0971972,0.091753,0.0863502,0.0810097,0.075752,0.070598,0.0655684,0.06068382,0.05596509,0.05143291,0.0471008,0.0429599,0.0389969,0.0351987,0.0315519,0.0280434,0.0246599,0.0213881,0.0182149,0.0151269,0.012111,0.0091539,0.00624235,0.0033631,0.00050298,-0.0023513,-0.005213,-0.0080953,-0.0110115,-0.0139748,-0.016998,-0.0200957,-0.02328,-0.0265639,-0.0299614,-0.0334853,-0.0371491,-0.0409659,-0.044949,-0.0491115,-0.0534668,-0.0580281,-0.0628086,-0.0678216,-0.0730802,-0.0785978,-0.0843876,-0.09046276,-0.0968366,-0.1035223,-0.1105332,-0.11788243,-0.1255833,-0.133649,-0.1420928,-0.1509279,-0.1601676,-0.1698251,-0.1799136,-0.1904464,-0.2014368,-0.2128979,-0.224843,-0.23728533,-0.2502308,-0.26364709,-0.2774899,-0.2917149,-0.3062776,-0.32113378,-0.33623893,-0.35154871,-0.3670188,-0.38260469,-0.39826213,-0.4139467,-0.429614,-0.4452197,-0.46071946,-0.4760688,-0.4912234,-0.5061389,-0.520771,-0.535075,-0.549007,-0.562525,-0.575629,-0.5883487,-0.600713,-0.612751,-0.624493,-0.635968,-0.647207,-0.658238,-0.669092,-0.6797976,-0.690385,-0.700883,-0.711322,-0.721731
4,LDHB,0,0,40.439,3.5109e-08,0.00026146,0.44085711,0.4259237,0.4110451,0.3962761,0.3816716,0.3672864,0.3531754,0.3393932,0.32599485,0.31303507,0.3005687,0.2886344,0.2772203,0.2663049,0.2558666,0.2458839,0.2363351,0.2271986,0.218453,0.2100765,0.2020477,0.1943449,0.18694661,0.1798312,0.1729771,0.16636275,0.1599665,0.1537669,0.1477423,0.1418711,0.1361317,0.130503,0.1249621,0.119489,0.114061,0.1086571,0.1032556,0.0978349,0.09237343,0.0868496,0.0812417,0.0755284,0.0696879,0.06369875,0.0575393,0.0511881,0.0446234,0.0378237,0.0307674,0.02343297,0.0157988,0.0078433,-0.00045511,-0.009118,-0.0181669,-0.0276235,-0.0375093,-0.0478458,-0.0586548,-0.0699577,-0.0817761,-0.0941317,-0.1070459,-0.1205404,-0.13463673,-0.1493407,-0.16457659,-0.1802429,-0.1962378,-0.2124598,-0.2288071,-0.24517811,-0.26147115,-0.2775846,-0.29341667,-0.30886582,-0.3238303,-0.338209,-0.3518989,-0.36479956,-0.376809,-0.3878254,-0.3977473,-0.406473,-0.4139006,-0.419929,-0.424464,-0.427528,-0.4292241,-0.429657,-0.428933,-0.427157,-0.424433,-0.420868,-0.416566,-0.411633,-0.4061739,-0.400294,-0.394098,-0.387691,-0.38118
5,RPS10,0,0,30.514,3.8451e-06,0.028508,0.21764743,0.2093034,0.2010382,0.1929303,0.1850586,0.1775017,0.1703383,0.1636471,0.15750694,0.15199639,0.1471942,0.1431548,0.13985716,0.1372655,0.1353441,0.1340572,0.133369,0.1332438,0.1336458,0.1345394,0.1358887,0.137658,0.1398116,0.14231369,0.1451285,0.14822039,0.1515535,0.1550922,0.1588006,0.162643,0.1665837,0.170587,0.1746169,0.178638,0.1826143,0.1865102,0.1902898,0.1939175,0.19735747,0.200574,0.2035313,0.2061937,0.2085253,0.21049052,0.2120535,0.2131786,0.21383,0.2139719,0.21356866,0.21258447,0.2109836,0.2087303,0.20578881,0.2021234,0.1976983,0.1924778,0.1864261,0.1795075,0.1716863,0.1629266,0.1531927,0.142449,0.1306596,0.1177887,0.10380077,0.0886733,0.07245298,0.0552085,0.0370084,0.0179216,-0.00198335,-0.02263771,-0.04397279,-0.0659199,-0.08841034,-0.11137542,-0.1347464,-0.158455,-0.1824316,-0.20660825,-0.2309161,-0.2552865,-0.2796506,-0.30394,-0.3280854,-0.352019,-0.375675,-0.399038,-0.4221287,-0.444968,-0.467577,-0.489976,-0.512186,-0.534229,-0.556125,-0.577895,-0.5995603,-0.621142,-0.642661,-0.664137,-0.685593
6,RPS16,0,0,36.523,2.2588e-07,0.0016799,0.09345348,0.0915298,0.0896191,0.0877345,0.0858889,0.0840954,0.0823671,0.0807168,0.07915777,0.0777029,0.07636522,0.0751522,0.07405421,0.073058,0.0721506,0.0713188,0.0705496,0.0698298,0.0691464,0.0684862,0.0678362,0.0671833,0.06651432,0.06581622,0.0650759,0.06428024,0.0634162,0.0624706,0.0614303,0.0602824,0.0590136,0.057611,0.0560613,0.054351,0.0524685,0.0503992,0.0481304,0.0456492,0.04294241,0.0399969,0.0367996,0.0333374,0.0295972,0.02556591,0.0212304,0.0165777,0.0115945,0.0062679,0.00058473,-0.00546814,-0.0119038,-0.0187353,-0.0259758,-0.0336384,-0.0417361,-0.0502821,-0.0592894,-0.0687712,-0.0787406,-0.0892106,-0.1001944,-0.111705,-0.1237556,-0.1363592,-0.14952895,-0.1632732,-0.17757576,-0.1924127,-0.2077599,-0.2235935,-0.23988946,-0.25662378,-0.27377246,-0.2913115,-0.30921696,-0.32746478,-0.346031,-0.364892,-0.3840226,-0.40340006,-0.4229999,-0.4427982,-0.4627709,-0.482894,-0.5031436,-0.523496,-0.543927,-0.564425,-0.5849846,-0.605601,-0.62627,-0.646987,-0.667746,-0.688544,-0.709374,-0.730233,-0.7511162,-0.772018,-0.792934,-0.81386,-0.83479
7,NACA,0,0,62.476,8.7481e-13,6.5506e-09,0.27495891,0.2705767,0.2662069,0.2618622,0.257555,0.2532978,0.2491031,0.2449835,0.2409514,0.23701933,0.2331998,0.2294991,0.2259044,0.2223989,0.218966,0.2155891,0.2122514,0.2089362,0.205627,0.202307,0.1989596,0.195568,0.19211571,0.18858593,0.184962,0.18122734,0.1773652,0.1733589,0.1691918,0.1648472,0.1603085,0.155559,0.1505819,0.145361,0.1398786,0.1341191,0.1280653,0.1217008,0.11500865,0.1079724,0.1005752,0.0928005,0.0846316,0.07605181,0.0670445,0.0575929,0.0476805,0.0372905,0.02640625,0.0150111,0.0030884,-0.0093786,-0.02240648,-0.036012,-0.0502117,-0.0650224,-0.0804607,-0.0965432,-0.1132867,-0.1307079,-0.1488233,-0.1676497,-0.1872037,-0.207502,-0.22856127,-0.2503783,-0.27284773,-0.2958314,-0.3191911,-0.3427888,-0.36648634,-0.39014555,-0.4136283,-0.4367965,-0.45951188,-0.48163643,-0.503032,-0.52356,-0.5430835,-0.56146318,-0.5785613,-0.5942397,-0.6083603,-0.620785,-0.6313754,-0.639994,-0.646513,-0.650966,-0.6534977,-0.654256,-0.653388,-0.651042,-0.647366,-0.642507,-0.636614,-0.629834,-0.622315,-0.614205,-0.605651,-0.596802,-0.587805
8,RPS9,0,0,33.572,9.1223e-07,0.0067743,0.24844556,0.2321242,0.2159381,0.2000225,0.1845126,0.1695436,0.1552508,0.1417695,0.12923481,0.11778204,0.10754639,0.098623,0.09098235,0.0845704,0.0793333,0.0752172,0.0721682,0.0701324,0.0690558,0.0688846,0.069565,0.0710429,0.07326456,0.07617602,0.0797234,0.08385282,0.0885104,0.0936421,0.0991943,0.1051128,0.111344,0.117834,0.1245283,0.131374,0.1383162,0.1453017,0.1522764,0.1591863,0.16597771,0.1725966,0.1789891,0.1851013,0.1908794,0.19626934,0.2012174,0.2056695,0.2095719,0.2128707,0.21551186,0.21744163,0.2186061,0.2189513,0.2184234,0.2169685,0.2145327,0.211062,0.2065027,0.2008008,0.1939024,0.1857537,0.1763006,0.1654894,0.1532661,0.1395769,0.12436784,0.107606,0.0893662,0.0697578,0.0488902,0.0268727,0.00381467,-0.02017452,-0.04498552,-0.070509,-0.09663552,-0.12325581,-0.1502605,-0.17754,-0.2049855,-0.23248717,-0.2599358,-0.287222,-0.3142364,-0.34087,-0.3670125,-0.392556,-0.417396,-0.44152,-0.4649773,-0.48782,-0.510098,-0.531863,-0.553167,-0.574061,-0.594596,-0.614823,-0.634794,-0.65456,-0.674172,-0.693681,-0.71314
9,GAS5,0,0,41.697,1.9273e-08,0.0001436,0.24673499,0.2360121,0.2253818,0.2149365,0.2047688,0.1949711,0.185636,0.176856,0.16872371,0.16133152,0.15477199,0.1491097,0.14432195,0.1403694,0.1372124,0.1348114,0.1331271,0.1321198,0.1317501,0.1319785,0.1327653,0.1340712,0.13585664,0.13808204,0.1407079,0.14369481,0.1470032,0.1505935,0.1544262,0.1584619,0.162661,0.166984,0.1713915,0.175844,0.1803015,0.184725,0.189075,0.1933118,0.19739588,0.2012878,0.2049481,0.2083372,0.2114155,0.21414366,0.2164821,0.2183913,0.2198317,0.2207639,0.22114826,0.22094538,0.2201157,0.2186197,0.21641794,0.2134708,0.2097389,0.2051826,0.1997624,0.1934389,0.1861725,0.1779237,0.168653,0.1583209,0.1468878,0.1343144,0.12056097,0.105601,0.08947394,0.0722406,0.0539616,0.0346977,0.01450968,-0.00654178,-0.02839596,-0.0509921,-0.07426952,-0.09816747,-0.1226252,-0.147582,-0.1729772,-0.19875006,-0.2248398,-0.2511857,-0.2777271,-0.304403,-0.3311533,-0.357917,-0.384635,-0.411287,-0.4378772,-0.464409,-0.490889,-0.517321,-0.543709,-0.57006,-0.596376,-0.622664,-0.6489282,-0.675173,-0.701403,-0.727624,-0.75384
