,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,GroupAllErith_PT_0,GroupAllErith_PT_0.01,GroupAllErith_PT_0.02,GroupAllErith_PT_0.03,GroupAllErith_PT_0.04,GroupAllErith_PT_0.05,GroupAllErith_PT_0.06,GroupAllErith_PT_0.07,GroupAllErith_PT_0.08,GroupAllErith_PT_0.09,GroupAllErith_PT_0.1,GroupAllErith_PT_0.11,GroupAllErith_PT_0.12,GroupAllErith_PT_0.13,GroupAllErith_PT_0.14,GroupAllErith_PT_0.15,GroupAllErith_PT_0.16,GroupAllErith_PT_0.17,GroupAllErith_PT_0.18,GroupAllErith_PT_0.19,GroupAllErith_PT_0.2,GroupAllErith_PT_0.21,GroupAllErith_PT_0.22,GroupAllErith_PT_0.23,GroupAllErith_PT_0.24,GroupAllErith_PT_0.25,GroupAllErith_PT_0.26,GroupAllErith_PT_0.27,GroupAllErith_PT_0.28,GroupAllErith_PT_0.29,GroupAllErith_PT_0.3,GroupAllErith_PT_0.31,GroupAllErith_PT_0.32,GroupAllErith_PT_0.33,GroupAllErith_PT_0.34,GroupAllErith_PT_0.35,GroupAllErith_PT_0.36,GroupAllErith_PT_0.37,GroupAllErith_PT_0.38,GroupAllErith_PT_0.39,GroupAllErith_PT_0.4,GroupAllErith_PT_0.41,GroupAllErith_PT_0.42,GroupAllErith_PT_0.43,GroupAllErith_PT_0.44,GroupAllErith_PT_0.45,GroupAllErith_PT_0.46,GroupAllErith_PT_0.47,GroupAllErith_PT_0.48,GroupAllErith_PT_0.49,GroupAllErith_PT_0.5,GroupAllErith_PT_0.51,GroupAllErith_PT_0.52,GroupAllErith_PT_0.53,GroupAllErith_PT_0.54,GroupAllErith_PT_0.55,GroupAllErith_PT_0.56,GroupAllErith_PT_0.57,GroupAllErith_PT_0.58,GroupAllErith_PT_0.59,GroupAllErith_PT_0.6,GroupAllErith_PT_0.61,GroupAllErith_PT_0.62,GroupAllErith_PT_0.63,GroupAllErith_PT_0.64,GroupAllErith_PT_0.65,GroupAllErith_PT_0.66,GroupAllErith_PT_0.67,GroupAllErith_PT_0.68,GroupAllErith_PT_0.69,GroupAllErith_PT_0.7,GroupAllErith_PT_0.71,GroupAllErith_PT_0.72,GroupAllErith_PT_0.73,GroupAllErith_PT_0.74,GroupAllErith_PT_0.75,GroupAllErith_PT_0.76,GroupAllErith_PT_0.77,GroupAllErith_PT_0.78,GroupAllErith_PT_0.79,GroupAllErith_PT_0.8,GroupAllErith_PT_0.81,GroupAllErith_PT_0.82,GroupAllErith_PT_0.83,GroupAllErith_PT_0.84,GroupAllErith_PT_0.85,GroupAllErith_PT_0.86,GroupAllErith_PT_0.87,GroupAllErith_PT_0.88,GroupAllErith_PT_0.89,GroupAllErith_PT_0.9,GroupAllErith_PT_0.91,GroupAllErith_PT_0.92,GroupAllErith_PT_0.93,GroupAllErith_PT_0.94,GroupAllErith_PT_0.95,GroupAllErith_PT_0.96,GroupAllErith_PT_0.97,GroupAllErith_PT_0.98,GroupAllErith_PT_0.99,GroupAllErith_PT_1
0,TBCB,0,0,28.388,1.0406e-05,0.039501,-0.11838,-0.1185807,-0.1187853,-0.119,-0.11924,-0.11949,-0.11978053,-0.1201031,-0.12046697,-0.12088,-0.12134,-0.12187,-0.12245,-0.12311233,-0.12385,-0.12467,-0.12557,-0.12657,-0.12768,-0.12888286,-0.13020257,-0.13164,-0.1332,-0.13489,-0.13672,-0.13869,-0.14081,-0.14307152,-0.14548,-0.14802,-0.15069,-0.15347,-0.15637,-0.15936,-0.16243412,-0.1655938,-0.16883,-0.17212,-0.17547,-0.17886,-0.18229259,-0.18575226,-0.18923,-0.19273,-0.19623,-0.19973,-0.20322,-0.20669471,-0.21014,-0.21356,-0.21694155,-0.22027311,-0.22355,-0.22676,-0.22991,-0.23297587,-0.23596,-0.23885,-0.24163488,-0.24432,-0.24687988,-0.24932121,-0.2516316,-0.2538,-0.25583,-0.25770091,-0.25941,-0.2609527,-0.2623174,-0.2635,-0.26448632,-0.26527529,-0.26585711,-0.26622586,-0.26638563,-0.26634416,-0.26610918,-0.26569,-0.26509,-0.26432064,-0.26339,-0.2623,-0.26106921,-0.25969643,-0.25819,-0.25656,-0.25482,-0.25297,-0.25101,-0.24897,-0.24683614,-0.24462743,-0.24235,-0.24001,-0.2376143,-0.23517338,-0.23269377,-0.23018,-0.22765,-0.22510012,-0.22254
1,TRANK1,0,0,32.433,1.5604e-06,0.0062805,-0.060123,-0.0617346,-0.0633572,-0.065003,-0.066683,-0.068408,-0.07019148,-0.07204336,-0.0739755,-0.075999,-0.078126,-0.080368,-0.082736,-0.08524131,-0.087896,-0.090711,-0.093698,-0.096868,-0.10023,-0.1038049,-0.10759437,-0.11161,-0.11587,-0.12038,-0.12516,-0.13021,-0.13555,-0.141167,-0.14702,-0.15305,-0.15919,-0.1654,-0.17162,-0.17778,-0.18383565,-0.18972541,-0.19539,-0.20078,-0.20584,-0.2105,-0.21473445,-0.21856137,-0.22199,-0.22505,-0.22775,-0.2301,-0.23212,-0.2338391,-0.23526,-0.23641,-0.23729712,-0.23794282,-0.23836,-0.23857,-0.2386,-0.23844035,-0.23813,-0.23767,-0.23709607,-0.23641,-0.23563498,-0.23478555,-0.23387933,-0.23293,-0.23196,-0.23098864,-0.23002,-0.22908673,-0.22819393,-0.22736,-0.22660893,-0.22595045,-0.22540381,-0.22498346,-0.22468985,-0.22451827,-0.22446404,-0.22452,-0.22469,-0.22495849,-0.22533,-0.22579,-0.22634007,-0.22697584,-0.22769,-0.22848,-0.22934,-0.23027,-0.23126,-0.2323,-0.23339761,-0.23454031,-0.23573,-0.23695,-0.23820311,-0.23948663,-0.24079361,-0.24212,-0.24346,-0.24480845,-0.24616
2,SATB1,1,0,34.203,6.7707e-07,0.0027922,-0.15492,-0.1573064,-0.1596964,-0.1621,-0.16452,-0.16697,-0.1694599,-0.17198573,-0.17455914,-0.17719,-0.17988,-0.18263,-0.18546,-0.18837756,-0.19138,-0.19448,-0.19767,-0.20098,-0.2044,-0.20794981,-0.21162413,-0.21543,-0.21939,-0.22349,-0.22775,-0.23217,-0.23676,-0.24152174,-0.24642,-0.25144,-0.25653,-0.26167,-0.26683,-0.27199,-0.2770974,-0.28213662,-0.28707,-0.29188,-0.29652,-0.30097,-0.30520326,-0.30922911,-0.31305,-0.31667,-0.32008,-0.32331,-0.32634,-0.32918921,-0.33185,-0.33434,-0.33664682,-0.33878482,-0.34076,-0.34256,-0.34421,-0.34570083,-0.34704,-0.34823,-0.34927851,-0.35019,-0.35095541,-0.35159301,-0.35210188,-0.35249,-0.35275,-0.35289487,-0.35293,-0.35285091,-0.35266876,-0.35239,-0.35200353,-0.35152818,-0.35096285,-0.35031132,-0.34957685,-0.34876252,-0.34787139,-0.34691,-0.34587,-0.34476797,-0.3436,-0.34237,-0.34108398,-0.33974131,-0.33835,-0.3369,-0.33541,-0.33388,-0.33231,-0.3307,-0.32905246,-0.32737804,-0.32568,-0.32395,-0.32220119,-0.32043461,-0.31865268,-0.31686,-0.31506,-0.31324545,-0.31143
3,ACSM3,0,0,27.928,1.29e-05,0.048479,-0.0058932,-0.0071186,-0.0083596,-0.009632,-0.010951,-0.012333,-0.01379353,-0.01534771,-0.01701149,-0.018801,-0.02073,-0.022817,-0.025076,-0.02752232,-0.030172,-0.033042,-0.036146,-0.039501,-0.043122,-0.04702424,-0.05122439,-0.055738,-0.06058,-0.065766,-0.071313,-0.077235,-0.083549,-0.09024676,-0.097257,-0.1045,-0.11189,-0.11934,-0.12677,-0.13411,-0.14126637,-0.14815698,-0.1547,-0.16082,-0.16642,-0.17143,-0.1758023,-0.17956046,-0.18273,-0.18535,-0.18743,-0.18902,-0.19014,-0.19081126,-0.19107,-0.19095,-0.19046991,-0.18966422,-0.18856,-0.18719,-0.18557,-0.18375007,-0.18174,-0.17958,-0.17729511,-0.17491,-0.17246233,-0.16997351,-0.16747483,-0.165,-0.16256,-0.16020761,-0.15796,-0.15584157,-0.1538886,-0.15213,-0.15058682,-0.14929561,-0.14828261,-0.14757218,-0.14716267,-0.14704295,-0.14720187,-0.14763,-0.14831,-0.14923903,-0.1504,-0.15179,-0.15338273,-0.15518007,-0.15717,-0.15933,-0.16166,-0.16415,-0.16679,-0.16955,-0.17244264,-0.17544372,-0.17855,-0.18174,-0.18500423,-0.18833967,-0.19173085,-0.19517,-0.19864,-0.20212729,-0.20563
4,B3GNT2,0,0,28.31,1.0792e-05,0.040869,0.011318,0.0084818,0.0056415,0.0027925,-6.9695e-05,-0.0029495,-0.00585135,-0.00877958,-0.01173862,-0.014733,-0.017767,-0.020845,-0.023971,-0.02714995,-0.030386,-0.033684,-0.037048,-0.040482,-0.043992,-0.04757994,-0.05125193,-0.055012,-0.058864,-0.062814,-0.066864,-0.07102,-0.075286,-0.07966116,-0.084128,-0.088668,-0.093261,-0.097888,-0.10253,-0.10717,-0.11177767,-0.11634621,-0.12085,-0.12527,-0.1296,-0.1338,-0.13786187,-0.14179184,-0.14559,-0.14924,-0.15276,-0.15614,-0.15937,-0.16247146,-0.16543,-0.16824,-0.1709109,-0.17343719,-0.17582,-0.17805,-0.18014,-0.18208671,-0.18388,-0.18553,-0.18702308,-0.18837,-0.18956356,-0.19060626,-0.19149621,-0.19223,-0.19281,-0.19324157,-0.19351,-0.19362673,-0.19358339,-0.19338,-0.19302088,-0.19250011,-0.19181859,-0.19097627,-0.18997738,-0.1888277,-0.18753304,-0.1861,-0.18453,-0.18283717,-0.18102,-0.17909,-0.17704525,-0.17489811,-0.17265,-0.17031,-0.16789,-0.16538,-0.1628,-0.16015,-0.15743243,-0.15465897,-0.15183,-0.14896,-0.14604862,-0.14310119,-0.14012475,-0.13713,-0.13411,-0.13107947,-0.12805
5,ZC3H11A,0,0,37.356,1.5215e-07,0.00065454,-0.031485,-0.0328165,-0.0341577,-0.035518,-0.036908,-0.038337,-0.03981472,-0.04135071,-0.04295487,-0.044637,-0.046407,-0.048274,-0.050248,-0.05233914,-0.054557,-0.056911,-0.059411,-0.062067,-0.064889,-0.06788539,-0.07106726,-0.074444,-0.078025,-0.08182,-0.08584,-0.090093,-0.09459,-0.09932912,-0.10428,-0.10942,-0.11469,-0.12008,-0.12555,-0.13106,-0.13657986,-0.14207445,-0.14751,-0.15285,-0.15807,-0.16312,-0.16799395,-0.1726827,-0.17719,-0.18152,-0.18567,-0.18965,-0.19345,-0.19707936,-0.20054,-0.20383,-0.2069605,-0.20992344,-0.21272,-0.21536,-0.21785,-0.22017131,-0.22234,-0.22436,-0.22622567,-0.22794,-0.22951313,-0.23093785,-0.23221907,-0.23336,-0.23436,-0.23522047,-0.23595,-0.23653827,-0.23699787,-0.23733,-0.23752782,-0.23760192,-0.23755129,-0.23737806,-0.23708605,-0.23667965,-0.23616326,-0.23554,-0.23482,-0.23399815,-0.23309,-0.23209,-0.23100153,-0.2298384,-0.2286,-0.22729,-0.22592,-0.22448,-0.22299,-0.22144,-0.2198487,-0.21821042,-0.21653,-0.21482,-0.2130756,-0.21130533,-0.20951307,-0.2077,-0.20588,-0.20404828,-0.20221
6,INPP5D,0,0,44.378,5.355e-09,2.5034e-05,-0.076823,-0.077222,-0.0776252,-0.078038,-0.078464,-0.078909,-0.07937674,-0.07987248,-0.08040062,-0.080966,-0.081573,-0.082226,-0.08293,-0.08368927,-0.084509,-0.085393,-0.086347,-0.087375,-0.088482,-0.08967205,-0.09094996,-0.09232,-0.093788,-0.095358,-0.097033,-0.098821,-0.10072,-0.10274881,-0.10491,-0.10723,-0.10971,-0.11238,-0.11524,-0.11832,-0.12163091,-0.12518535,-0.129,-0.13309,-0.13747,-0.14216,-0.14715827,-0.15243477,-0.15796,-0.16372,-0.16966,-0.17578,-0.18203,-0.18838996,-0.19483,-0.20133,-0.2078436,-0.21435633,-0.22084,-0.22725,-0.23358,-0.23978624,-0.24585,-0.25173,-0.25740656,-0.26285,-0.26803335,-0.272925,-0.2774974,-0.28172,-0.28557,-0.28901328,-0.29202,-0.2945704,-0.2966272,-0.29816,-0.2991544,-0.29956766,-0.29937593,-0.29855634,-0.29711954,-0.29508836,-0.29248567,-0.28933,-0.28566,-0.28147713,-0.27682,-0.2717,-0.26614797,-0.26018479,-0.25383,-0.24712,-0.24005,-0.23267,-0.225,-0.21704,-0.20884113,-0.20040902,-0.19177,-0.18295,-0.17396966,-0.16485173,-0.15561951,-0.1463,-0.1369,-0.12746561,-0.118
7,STT3B,0,0,69.758,2.5531e-14,1.4246e-10,-0.16751,-0.1686822,-0.1698549,-0.17103,-0.1722,-0.17337,-0.17453363,-0.17569842,-0.17686048,-0.17802,-0.17917,-0.18033,-0.18147,-0.18261597,-0.18375,-0.18489,-0.18601,-0.18713,-0.18824,-0.18935036,-0.19044902,-0.19154,-0.19262,-0.1937,-0.19476,-0.19582,-0.19686,-0.19790325,-0.19896,-0.20004,-0.20117,-0.20238,-0.20368,-0.20508,-0.20661635,-0.20830056,-0.21015,-0.21219,-0.21444,-0.21692,-0.21963149,-0.22256751,-0.22571,-0.22906,-0.23259,-0.23629,-0.24015,-0.24415649,-0.24829,-0.25255,-0.25691292,-0.261368,-0.2659,-0.2705,-0.27516,-0.27985223,-0.28457,-0.28931,-0.29404409,-0.29877,-0.3034645,-0.30812299,-0.31272945,-0.31727,-0.32173,-0.32610513,-0.33037,-0.33452094,-0.33853898,-0.34241,-0.34612954,-0.34967574,-0.35303836,-0.35620649,-0.35918241,-0.36197326,-0.36458614,-0.36703,-0.36931,-0.37142818,-0.3734,-0.37523,-0.37692481,-0.37849126,-0.37994,-0.38127,-0.38249,-0.38362,-0.38465,-0.3856,-0.38646662,-0.38726427,-0.388,-0.38867,-0.38930127,-0.38988536,-0.39043386,-0.39095,-0.39145,-0.39193697,-0.39241
8,PSTPIP2,0,0,39.868,4.6099e-08,0.00020473,-0.00012546,-0.0020332,-0.0039452,-0.0058656,-0.0077987,-0.0097487,-0.0117198,-0.01371623,-0.01574222,-0.017802,-0.0199,-0.02204,-0.024226,-0.0264633,-0.028755,-0.031106,-0.033521,-0.036003,-0.038557,-0.04118648,-0.04389651,-0.046691,-0.049574,-0.05255,-0.055623,-0.058798,-0.062078,-0.06546724,-0.068968,-0.072583,-0.076314,-0.080163,-0.084133,-0.088225,-0.09244171,-0.09678537,-0.10126,-0.10586,-0.1106,-0.11547,-0.12047532,-0.12559171,-0.1308,-0.13609,-0.14143,-0.14682,-0.15222,-0.15763016,-0.16302,-0.16838,-0.17367827,-0.17890857,-0.18405,-0.18908,-0.19398,-0.19874097,-0.20333,-0.20774,-0.21195395,-0.21594,-0.21969396,-0.22318786,-0.22640635,-0.22933,-0.23194,-0.23422436,-0.23616,-0.2377201,-0.23889759,-0.23967,-0.24001927,-0.23992647,-0.23937322,-0.238345,-0.23685058,-0.23490721,-0.23253216,-0.22974,-0.22656,-0.2229896,-0.21906,-0.21479,-0.21018355,-0.20527022,-0.20006,-0.19458,-0.18884,-0.18285,-0.17665,-0.17023,-0.1636247,-0.15684651,-0.14991,-0.14284,-0.1356486,-0.1283524,-0.12096986,-0.11352,-0.10601,-0.0984769,-0.090922
9,LRRFIP1,1,0,46.675,1.7823e-09,8.5087e-06,-0.14944,-0.1535531,-0.1576681,-0.16178,-0.16588,-0.16998,-0.17406472,-0.17813741,-0.18219528,-0.18624,-0.19026,-0.19426,-0.19824,-0.20218824,-0.20611,-0.21001,-0.21387,-0.2177,-0.22149,-0.2252483,-0.22896321,-0.23264,-0.23626,-0.23985,-0.24338,-0.24686,-0.25029,-0.2536667,-0.257,-0.26031,-0.26359,-0.26687,-0.27015,-0.27345,-0.27677234,-0.28013367,-0.28354,-0.28702,-0.29056,-0.29419,-0.29790081,-0.30169112,-0.30555,-0.30945,-0.3134,-0.31738,-0.32137,-0.32536676,-0.32936,-0.33333,-0.33726824,-0.34116534,-0.34501,-0.34878,-0.35248,-0.35608535,-0.35959,-0.36298,-0.36623968,-0.36936,-0.37233718,-0.37514853,-0.37778573,-0.38024,-0.38249,-0.38453308,-0.38635,-0.38794187,-0.38928366,-0.39037,-0.3911824,-0.39171549,-0.39195518,-0.39189206,-0.39153171,-0.39088513,-0.38996333,-0.38878,-0.38734,-0.38565666,-0.38374,-0.38161,-0.37926929,-0.37672917,-0.374,-0.3711,-0.36803,-0.36481,-0.36144,-0.35794,-0.35432454,-0.35059545,-0.34677,-0.34285,-0.33885773,-0.33479837,-0.33068396,-0.32653,-0.32233,-0.31812057,-0.3139
