,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,statisticsValue,P-value,Adj P-value
0,AAK1,-0.17718,-0.18551,-0.18315,-0.20038,-0.19905,-0.19174,-0.17252,-0.10929,-0.05146,-0.07998,0.03964,0.0777,-0.17114,-0.10363,-0.16798,90.40239,3.19e-13,1.72e-09
1,AAMDC,-0.03457,-0.06397,-0.07905,-0.09616,-0.09383,-0.08777,0.00788,0.03339,-0.08849,-0.09446,-0.10186,-0.09909,-0.0838,-0.07299,-0.0943,67.88877,4.64e-09,2.22e-05
2,AASDH,-0.06141,-0.09819,-0.0922,-0.1015,-0.07393,-0.09422,-0.02989,0.04474,-0.09597,-0.0973,-0.09129,-0.10131,-0.08904,-0.08394,-0.08048,61.28079,6.99e-08,0.000315
3,ABCB10,-0.36199,-0.33272,-0.34831,-0.34548,-0.33288,-0.09903,1.03352,0.3745,-0.31046,-0.34153,-0.31373,-0.33178,-0.34891,-0.34473,-0.31048,822.69028,1.55e-166,1.12e-162
4,ABCC4,-0.16129,-0.09464,-0.16476,0.29833,0.06286,-0.05122,-0.16926,-0.1465,-0.13172,-0.14977,-0.17122,-0.17371,-0.16936,-0.18241,-0.18972,76.95092,1.04e-10,5.28e-07
5,ABCD4,-0.04146,-0.06854,-0.09335,-0.08382,-0.0705,-0.10472,0.05686,0.04045,-0.0714,-0.09658,-0.0762,-0.08587,-0.07669,-0.07709,-0.07346,93.43333,8.49e-14,4.64e-10
6,ABCE1,-0.261,-0.21179,-0.1982,-0.13144,-0.05944,-0.046,-0.28209,-0.26068,-0.22858,-0.0899,-0.11371,-0.07986,-0.18726,-0.15374,-0.1894,126.37964,3.52e-20,2.09e-16
7,ABCF2,-0.08801,-0.11168,-0.1145,-0.11932,-0.12157,-0.10057,-0.04832,0.02498,-0.12385,-0.1123,-0.09247,-0.08637,-0.11796,-0.11146,-0.12051,69.64931,2.23e-09,1.08e-05
8,ABCG1,-0.07398,-0.0673,-0.07135,-0.10692,-0.08704,-0.09584,-0.02299,0.07096,-0.08983,-0.08097,-0.09136,-0.09136,-0.07999,-0.05789,-0.08817,68.2587,3.98e-09,1.91e-05
9,ABCG2,-0.10422,-0.09473,-0.07745,-0.07147,-0.08744,-0.0517,-0.02483,-0.02464,-0.07722,-0.10894,-0.08726,-0.10364,-0.08007,-0.04343,-0.05879,78.00271,6.63e-11,3.39e-07
10,ABHD13,-0.06454,-0.09065,-0.09997,-0.05286,-0.10355,-0.10037,0.0243,0.01948,-0.09577,-0.09328,-0.07412,-0.08705,-0.09257,-0.08933,-0.09827,58.67796,2e-07,0.000878
11,ABHD15,-0.03685,-0.0767,-0.07995,-0.09797,-0.10058,-0.1019,0.00268,0.07911,-0.09186,-0.09392,-0.08202,0.02534,-0.08723,-0.02971,0.06159,106.34219,2.86e-16,1.63e-12
12,ABHD2,-0.25109,-0.11167,-0.24102,-0.15884,-0.11735,-0.05066,-0.17025,-0.30801,-0.11477,-0.20564,-0.18815,-0.16289,-0.23165,-0.24851,-0.24199,116.04798,3.73e-18,2.18e-14
13,ABRACL,-0.2641,-0.18785,-0.15006,-0.03956,-0.05338,-0.25295,-0.33127,-0.33684,-0.10439,-0.06153,0.2628,0.06094,-0.19136,-0.11027,-0.17601,412.02999,3.7e-79,2.58e-75
14,AC005154.6,-0.05137,-0.04683,-0.09006,-0.0914,-0.09363,-0.10907,-0.06606,0.02614,-0.08806,-0.09396,-0.06961,-0.04275,-0.08772,-0.05241,-0.09269,60.6431,9.05e-08,0.000405
15,AC007246.3,-0.0231,-0.06413,-0.06955,-0.07508,-0.08877,-0.08999,0.01748,0.08892,-0.07621,-0.08259,-0.07115,-0.05753,-0.05911,-0.05199,-0.04736,96.74416,1.99e-14,1.1e-10
16,AC159540.1,-0.0427,-0.06892,-0.09108,-0.09231,-0.0915,-0.10487,-0.07723,0.02345,-0.09774,-0.08175,-0.09621,-0.08144,-0.07544,-0.08072,-0.07621,55.98924,5.85e-07,0.00249
