,Gene,isTF,isCDMarker,StatisticsValue,P-value,Adj P-value,Group10_PT_0,Group10_PT_0.01,Group10_PT_0.02,Group10_PT_0.03,Group10_PT_0.04,Group10_PT_0.05,Group10_PT_0.06,Group10_PT_0.07,Group10_PT_0.08,Group10_PT_0.09,Group10_PT_0.1,Group10_PT_0.11,Group10_PT_0.12,Group10_PT_0.13,Group10_PT_0.14,Group10_PT_0.15,Group10_PT_0.16,Group10_PT_0.17,Group10_PT_0.18,Group10_PT_0.19,Group10_PT_0.2,Group10_PT_0.21,Group10_PT_0.22,Group10_PT_0.23,Group10_PT_0.24,Group10_PT_0.25,Group10_PT_0.26,Group10_PT_0.27,Group10_PT_0.28,Group10_PT_0.29,Group10_PT_0.3,Group10_PT_0.31,Group10_PT_0.32,Group10_PT_0.33,Group10_PT_0.34,Group10_PT_0.35,Group10_PT_0.36,Group10_PT_0.37,Group10_PT_0.38,Group10_PT_0.39,Group10_PT_0.4,Group10_PT_0.41,Group10_PT_0.42,Group10_PT_0.43,Group10_PT_0.44,Group10_PT_0.45,Group10_PT_0.46,Group10_PT_0.47,Group10_PT_0.48,Group10_PT_0.49,Group10_PT_0.5,Group10_PT_0.51,Group10_PT_0.52,Group10_PT_0.53,Group10_PT_0.54,Group10_PT_0.55,Group10_PT_0.56,Group10_PT_0.57,Group10_PT_0.58,Group10_PT_0.59,Group10_PT_0.6,Group10_PT_0.61,Group10_PT_0.62,Group10_PT_0.63,Group10_PT_0.64,Group10_PT_0.65,Group10_PT_0.66,Group10_PT_0.67,Group10_PT_0.68,Group10_PT_0.69,Group10_PT_0.7,Group10_PT_0.71,Group10_PT_0.72,Group10_PT_0.73,Group10_PT_0.74,Group10_PT_0.75,Group10_PT_0.76,Group10_PT_0.77,Group10_PT_0.78,Group10_PT_0.79,Group10_PT_0.8,Group10_PT_0.81,Group10_PT_0.82,Group10_PT_0.83,Group10_PT_0.84,Group10_PT_0.85,Group10_PT_0.86,Group10_PT_0.87,Group10_PT_0.88,Group10_PT_0.89,Group10_PT_0.9,Group10_PT_0.91,Group10_PT_0.92,Group10_PT_0.93,Group10_PT_0.94,Group10_PT_0.95,Group10_PT_0.96,Group10_PT_0.97,Group10_PT_0.98,Group10_PT_0.99,Group10_PT_1
0,RPLP1,0,0,34.787,5.1376e-07,0.0034792,1.27773,1.22601,1.17432,1.12268,1.0711,1.019626,0.968268,0.9170545,0.8660088,0.815155,0.764517,0.714118,0.663984,0.614137,0.564601,0.515402,0.466562,0.418106,0.370057,0.3224399,0.275278,0.228596,0.182418,0.136767,0.091667,0.047143,0.0032184,-0.0400829,-0.082737,-0.124719,-0.166007,-0.206575,-0.246399,-0.285457,-0.323723,-0.361174,-0.397786,-0.433535,-0.468396,-0.502347,-0.5353621,-0.56741841,-0.5984917,-0.628575,-0.6577334,-0.686051,-0.713613,-0.740502,-0.766803,-0.7926,-0.8179777,-0.84302,-0.86781,-0.892434,-0.916975,-0.941516,-0.966144,-0.990932,-1.01581,-1.04058,-1.065044,-1.089001,-1.112251,-1.134595,-1.155832,-1.17576,-1.194185,-1.2109,-1.2257127,-1.238429,-1.249014,-1.25754,-1.26406,-1.26866,-1.27141,-1.27236,-1.2716,-1.26918,-1.26519,-1.25968,-1.25272,-1.24439,-1.234752,-1.223876,-1.21183,-1.198684,-1.18451,-1.16937,-1.15333,-1.136469,-1.118852,-1.100547,-1.08162,-1.06215,-1.04219,-1.02182,-1.00111,-0.98012,-0.95893,-0.9376,-0.9162
1,SC5D,0,0,38.756,7.8253e-08,0.00053017,0.65524,0.65559,0.6559,0.65615,0.65629,0.656305,0.65615,0.6557951,0.6552063,0.65435,0.653193,0.651703,0.649844,0.647585,0.644891,0.64173,0.638067,0.63387,0.6291053,0.6237389,0.617738,0.611068,0.603697,0.595591,0.586717,0.577041,0.5665295,0.5551494,0.542867,0.52965,0.515463,0.500274,0.48405,0.466756,0.44836,0.428828,0.408127,0.386223,0.363082,0.338673,0.3129599,0.28591075,0.2574918,0.2277305,0.1969115,0.165387,0.13351,0.101634,0.070109,0.03929,0.0095278,-0.018824,-0.045413,-0.069887,-0.091893,-0.111079,-0.127092,-0.139602,-0.148672,-0.154692,-0.158066,-0.159195,-0.158483,-0.156329,-0.153138,-0.14931,-0.145251,-0.14136,-0.1380389,-0.135671,-0.134392,-0.13417,-0.13497,-0.13675,-0.13949,-0.14314,-0.14767,-0.15305,-0.15924,-0.1662,-0.173906,-0.182312,-0.191388,-0.201098,-0.211407,-0.222279,-0.23368,-0.24557,-0.257925,-0.2707,-0.283861,-0.297375,-0.31121,-0.32532,-0.33968,-0.35425,-0.36899,-0.38388,-0.39888,-0.41394,-0.42904
2,SNHG7,0,0,29.176,7.2e-06,0.048744,-0.2571,-0.21959,-0.18213,-0.14475,-0.1075,-0.070424,-0.033566,0.0030314,0.0393251,0.075272,0.110827,0.145949,0.180593,0.214717,0.248276,0.281227,0.313528,0.345133,0.3760013,0.4060878,0.43535,0.463743,0.491226,0.517753,0.543282,0.567769,0.5911707,0.613444,0.634545,0.654431,0.673059,0.690384,0.706363,0.720953,0.734111,0.745793,0.755956,0.764557,0.771551,0.776896,0.7805475,0.78246313,0.7825991,0.7809018,0.7772752,0.771612,0.763804,0.753744,0.741324,0.726438,0.7089776,0.688835,0.665903,0.640074,0.611241,0.579295,0.54413,0.505658,0.464126,0.420063,0.374008,0.3265,0.278078,0.22928,0.180644,0.13271,0.086016,0.0411,-0.0014988,-0.04127,-0.078063,-0.11197,-0.14308,-0.17151,-0.19733,-0.22065,-0.24156,-0.26017,-0.27656,-0.29084,-0.303091,-0.31342,-0.321921,-0.32869,-0.333823,-0.337417,-0.33957,-0.34037,-0.339921,-0.338318,-0.335656,-0.332032,-0.32754,-0.32228,-0.31635,-0.30984,-0.30285,-0.29547,-0.2878,-0.27994,-0.27199
3,CD52,0,0,39.123,6.5712e-08,0.00044526,-0.36262,-0.31804,-0.27351,-0.22907,-0.18478,-0.140674,-0.096812,-0.0532381,-0.0099995,0.032856,0.07528,0.117224,0.158642,0.199484,0.239703,0.279252,0.318081,0.356144,0.3933916,0.4297768,0.465251,0.499767,0.533277,0.565732,0.597085,0.627288,0.6562924,0.6840508,0.710515,0.735638,0.75937,0.781665,0.802474,0.82175,0.839444,0.855508,0.869895,0.882557,0.893445,0.902512,0.9097103,0.91499126,0.9183073,0.9195914,0.9186966,0.915455,0.909698,0.901257,0.889965,0.875653,0.8581524,0.837296,0.812915,0.784842,0.752907,0.716944,0.676783,0.632282,0.583728,0.531771,0.477073,0.420294,0.362096,0.30314,0.244089,0.1856,0.128342,0.07297,0.0201478,-0.029499,-0.075778,-0.11879,-0.15865,-0.19547,-0.22934,-0.26039,-0.28871,-0.31442,-0.33764,-0.35845,-0.376985,-0.393341,-0.40763,-0.41996,-0.43044,-0.439179,-0.44629,-0.45187,-0.456039,-0.458902,-0.460569,-0.461147,-0.46075,-0.45947,-0.45744,-0.45476,-0.45153,-0.44786,-0.44387,-0.43966,-0.43534
4,FAM30A,0,0,51.809,1.512e-10,1.025e-06,1.1632,1.16116,1.15916,1.15723,1.15539,1.153699,1.152173,1.1508517,1.1497682,1.148957,1.148451,1.148286,1.148495,1.149111,1.15017,1.151705,1.15375,1.156339,1.159506,1.1632852,1.16771,1.172816,1.178635,1.185203,1.192553,1.200718,1.2097343,1.2196343,1.230453,1.242223,1.254979,1.268756,1.283587,1.299506,1.316547,1.334744,1.354131,1.374743,1.396613,1.419775,1.4442627,1.47011102,1.4973535,1.5258893,1.5550471,1.584005,1.611941,1.638034,1.661461,1.6814,1.6970305,1.70753,1.712076,1.709846,1.700021,1.681776,1.654291,1.616803,1.569586,1.513787,1.450579,1.381134,1.306627,1.22823,1.147116,1.06446,0.981434,0.89921,0.8189657,0.741812,0.668139,0.59784,0.53081,0.46694,0.4061,0.34819,0.2931,0.2407,0.1909,0.14358,0.098614,0.055905,0.015335,-0.023208,-0.059837,-0.094665,-0.1278,-0.15937,-0.189465,-0.218212,-0.245721,-0.272104,-0.29747,-0.32194,-0.34562,-0.36863,-0.39107,-0.41306,-0.43472,-0.45615,-0.47746
5,CEP192,0,0,55.61,2.4204e-11,1.6411e-07,-0.58748,-0.56032,-0.53321,-0.50618,-0.47928,-0.452553,-0.426044,-0.3997941,-0.3738477,-0.348247,-0.323037,-0.298259,-0.273958,-0.250176,-0.226957,-0.204344,-0.18238,-0.161109,-0.1405736,-0.1208177,-0.101884,-0.083817,-0.066658,-0.050452,-0.035242,-0.02107,-0.007981,0.0039826,0.014777,0.02436,0.032687,0.039716,0.045402,0.049703,0.052576,0.053977,0.053862,0.052189,0.048915,0.043995,0.0373869,0.02904728,0.0189327,0.0071193,-0.0058125,-0.019149,-0.032176,-0.04418,-0.054447,-0.062264,-0.0669165,-0.067691,-0.063873,-0.05475,-0.039608,-0.017732,0.011591,0.049009,0.09406,0.145339,0.201416,0.260858,0.322233,0.384111,0.445058,0.50364,0.558436,0.608,0.6509107,0.685807,0.712299,0.73064,0.74112,0.74398,0.73952,0.728,0.70968,0.68485,0.65378,0.61673,0.57398,0.525799,0.472458,0.41423,0.351385,0.284196,0.21293,0.13787,0.059276,-0.022576,-0.107415,-0.194969,-0.28497,-0.37714,-0.47121,-0.56691,-0.66397,-0.76211,-0.86107,-0.96057,-1.06035
6,MRPL27,0,0,45.704,2.8376e-09,1.9233e-05,-0.46301,-0.44867,-0.43436,-0.42008,-0.40588,-0.39176,-0.377753,-0.3638775,-0.350157,-0.336613,-0.323268,-0.310144,-0.297262,-0.284646,-0.272316,-0.260296,-0.248607,-0.237271,-0.2263101,-0.215747,-0.205603,-0.195901,-0.186663,-0.177911,-0.169666,-0.161951,-0.1547881,-0.1481994,-0.142207,-0.136832,-0.132098,-0.128027,-0.124639,-0.121959,-0.120007,-0.118805,-0.118377,-0.118743,-0.119927,-0.121949,-0.1248324,-0.12859905,-0.1332709,-0.1387819,-0.1446928,-0.150466,-0.155563,-0.159447,-0.16158,-0.161424,-0.1584419,-0.152095,-0.141846,-0.127158,-0.107492,-0.08231,-0.051076,-0.013302,0.030609,0.079508,0.132223,0.187579,0.244406,0.301529,0.357775,0.41197,0.462949,0.50953,0.5505421,0.584878,0.612216,0.63277,0.64678,0.65445,0.65602,0.65171,0.64175,0.62637,0.60579,0.58023,0.549928,0.515104,0.475986,0.432799,0.38577,0.335124,0.28109,0.22389,0.163745,0.100893,0.035554,-0.032046,-0.10168,-0.17312,-0.24615,-0.32053,-0.39604,-0.47245,-0.54955,-0.62709,-0.70486
7,TRIB2,0,0,40.967,2.7306e-08,0.00018505,0.98126,0.94333,0.90546,0.8677,0.8301,0.792722,0.755619,0.7188455,0.6824566,0.646507,0.611052,0.576147,0.541845,0.508203,0.475275,0.443116,0.411782,0.381326,0.3518039,0.3232708,0.295781,0.269391,0.244154,0.220125,0.197361,0.175914,0.155841,0.1371963,0.120035,0.104411,0.090381,0.077999,0.06732,0.058399,0.051291,0.04605,0.042732,0.041392,0.042085,0.044865,0.0497874,0.05690734,0.0662796,0.0780061,0.0923864,0.109773,0.130517,0.154971,0.183487,0.216417,0.2541138,0.296928,0.345213,0.39932,0.459601,0.526409,0.600095,0.680957,0.768366,0.860911,0.957156,1.055665,1.155002,1.253732,1.350419,1.44363,1.531922,1.61387,1.6880241,1.75304,1.80854,1.85482,1.89219,1.92095,1.94141,1.95388,1.95866,1.95607,1.94641,1.92999,1.907117,1.878094,1.843231,1.802836,1.757216,1.706678,1.65153,1.59208,1.528631,1.461495,1.390979,1.317389,1.24103,1.16222,1.08125,0.99844,0.91409,0.82852,0.74202,0.6549,0.56748
8,TSC22D1,1,0,35.986,2.9126e-07,0.0019727,0.37259,0.35429,0.33605,0.31795,0.30004,0.282383,0.265054,0.2481136,0.231626,0.215656,0.200269,0.185529,0.1715,0.158249,0.145839,0.134335,0.123801,0.114304,0.1059061,0.0986736,0.092671,0.087962,0.084613,0.082688,0.082251,0.083367,0.0861019,0.0905191,0.096684,0.104661,0.114514,0.12631,0.140112,0.155984,0.173993,0.194202,0.216677,0.241481,0.26868,0.298338,0.3305206,0.36529194,0.4027168,0.4427938,0.4852419,0.529706,0.575832,0.623264,0.671648,0.720628,0.7698509,0.81896,0.867602,0.915421,0.962062,1.007171,1.050393,1.091384,1.130009,1.166305,1.200315,1.232081,1.261648,1.289057,1.314353,1.33758,1.358773,1.37798,1.3952529,1.410623,1.424148,1.43589,1.4459,1.45425,1.46098,1.46618,1.46988,1.47215,1.47306,1.47265,1.470995,1.468149,1.464171,1.459123,1.453062,1.446049,1.43814,1.4294,1.419889,1.409661,1.398778,1.3873,1.37529,1.3628,1.34989,1.33662,1.32306,1.30926,1.29528,1.28119,1.26703
9,DDIT4,0,0,38.11,1.0634e-07,0.00072034,-0.22352,-0.2109,-0.19829,-0.18571,-0.17315,-0.160636,-0.148174,-0.1357759,-0.1234511,-0.11121,-0.099064,-0.087023,-0.075097,-0.063298,-0.051635,-0.040119,-0.028761,-0.017571,-0.0065591,0.0042633,0.014886,0.025299,0.035491,0.045452,0.055171,0.064639,0.0738431,0.0827745,0.091422,0.099776,0.107825,0.115558,0.122966,0.130038,0.136764,0.143131,0.149132,0.154754,0.159987,0.164821,0.1692456,0.1732497,0.1768231,0.1800187,0.1831575,0.186631,0.190832,0.196152,0.202983,0.211716,0.222744,0.236458,0.253251,0.273513,0.297638,0.326017,0.359041,0.397075,0.439991,0.487249,0.538298,0.592584,0.649555,0.708657,0.769339,0.83105,0.89323,0.95533,1.0168065,1.077122,1.136091,1.19375,1.25015,1.30533,1.35934,1.41221,1.46399,1.51472,1.56446,1.61323,1.661092,1.708081,1.754243,1.79962,1.844257,1.888197,1.93148,1.97416,2.01627,2.057857,2.098965,2.139638,2.17992,2.21985,2.25948,2.29884,2.33799,2.37696,2.41581,2.45456,2.49327
