,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,statisticsValue,P-value,Adj P-value
0,ACTB,-0.554,-0.339,-0.228,1.004,0.173,0.337,0.45,1.684,0.384,0.115,0.165,841.043,3.08e-174,2.09e-170
1,ACTG1,-0.49,-0.33,-0.242,-0.036,-0.589,0.163,0.427,1.459,1.318,0.188,1.629,1217.115,2.93e-255,1.99e-251
2,ACTN1,-0.279,-0.255,-0.195,0.304,-0.098,0.286,-0.139,-0.235,-0.251,-0.238,-0.105,84.68,6.04e-14,3.86e-10
3,ACTR2,-0.328,-0.243,-0.213,-0.011,-0.171,0.195,-0.044,0.448,-0.203,-0.114,-0.119,118.188,1.18e-20,7.66e-17
4,ACTR3,-0.283,-0.259,-0.172,-0.073,-0.13,0.119,-0.064,0.154,0.026,-0.224,-0.185,63.016,9.7e-10,6.1e-06
5,ACY3,-0.138,-0.154,-0.111,-0.154,-0.154,-0.084,-0.08,0.029,0.119,0.27,-0.083,45.668,1.65e-06,0.0101
6,ADA,-0.285,-0.29,-0.192,-0.308,-0.29,-0.126,0.241,0.468,0.228,-0.074,0.867,283.71,4.29e-55,2.87e-51
7,AFF1,-0.265,-0.23,-0.245,-0.185,-0.22,-0.208,-0.045,-0.144,0.176,0.189,0.782,196.209,9.96e-37,6.6e-33
8,AIF1,-0.083,-0.179,-0.104,-0.349,-0.654,-0.286,-0.104,-0.297,-0.274,-0.067,-0.42,82.001,2.03e-13,1.3e-09
9,AK2,-0.293,-0.281,-0.173,-0.2,-0.11,0.265,-0.078,-0.11,-0.15,-0.343,-0.282,72.985,1.17e-11,7.45e-08
10,ALDH1A1,0.023,-0.069,-0.204,-0.004,0.059,-0.42,-0.376,-0.449,-0.372,-0.422,-0.438,149.736,4.22e-27,2.77e-23
11,ANAPC11,-0.3,-0.294,-0.185,-0.075,-0.191,0.013,0.056,0.132,-0.268,-0.315,-0.15,62.152,1.42e-09,8.89e-06
12,ANP32A,-0.284,-0.23,-0.21,-0.095,0.0,0.124,-0.061,0.156,-0.34,-0.281,-0.135,68.072,1.04e-10,6.61e-07
13,ANP32B,-0.215,-0.241,-0.078,0.175,-0.14,-0.248,0.051,0.073,0.623,-0.154,-0.326,54.173,4.5e-08,0.00028
14,ANXA1,-0.174,-0.244,-0.12,-0.315,-0.253,0.357,-0.206,-0.298,-0.399,-0.349,-0.347,90.488,4.29e-15,2.75e-11
15,APEX1,-0.289,-0.183,-0.078,-0.229,-0.166,0.129,-0.058,-0.091,-0.194,-0.389,-0.159,60.892,2.46e-09,1.54e-05
16,APLP2,-0.198,-0.203,-0.082,-0.263,-0.253,0.636,-0.224,-0.408,-0.395,-0.465,-0.458,180.339,1.99e-33,1.32e-29
17,ARF1,-0.272,-0.246,-0.174,-0.067,-0.012,0.176,-0.229,0.096,-0.267,-0.228,-0.145,61.783,1.66e-09,1.04e-05
18,ARF6,-0.275,-0.33,-0.207,-0.242,-0.132,-0.032,0.011,0.362,0.272,-0.063,-0.049,97.863,1.46e-16,9.4e-13
19,ARHGDIB,-0.136,-0.043,-0.035,0.134,-0.473,-0.279,-0.224,-0.159,0.032,-0.289,0.081,51.321,1.52e-07,0.000944
20,ARL4C,-0.206,-0.232,-0.173,-0.215,-0.234,-0.184,0.002,0.476,0.007,0.026,0.227,127.569,1.46e-22,9.54e-19
21,ARPC1B,-0.244,-0.094,-0.186,0.409,-0.238,0.238,-0.141,0.16,-0.344,-0.508,-0.482,143.075,9.87e-26,6.46e-22
22,ARPC2,-0.32,-0.271,-0.136,-0.208,-0.269,0.269,0.014,0.432,0.052,-0.272,-0.204,127.46,1.54e-22,1e-18
23,ARPC3,-0.339,-0.245,-0.158,0.008,-0.24,0.175,0.133,0.313,-0.035,-0.043,-0.153,114.839,5.62e-20,3.65e-16
24,ARPC5,-0.277,-0.217,-0.172,-0.046,-0.221,-0.001,-0.036,0.352,-0.03,-0.178,-0.177,73.552,9.1e-12,5.79e-08
25,ATP1A1,-0.242,-0.29,-0.117,-0.079,-0.152,0.084,-0.083,-0.205,-0.12,-0.383,-0.272,47.988,6.24e-07,0.00384
26,ATP1B3,-0.271,-0.304,-0.146,-0.215,-0.129,0.127,-0.089,-0.089,-0.107,-0.258,-0.184,48.051,6.08e-07,0.00374
27,ATP5A1,-0.292,-0.238,-0.154,-0.135,0.066,0.132,-0.07,-0.017,-0.178,-0.34,-0.114,59.621,4.28e-09,2.68e-05
28,ATP5B,-0.362,-0.216,-0.17,-0.048,0.152,0.376,-0.041,-0.047,-0.163,-0.338,-0.104,125.089,4.68e-22,3.05e-18
29,ATP5E,-0.361,-0.253,-0.217,0.035,-0.143,-0.059,0.155,0.52,0.021,0.175,-0.044,152.634,1.07e-27,7.03e-24
30,ATP5F1,-0.283,-0.278,-0.176,0.054,-0.022,0.095,-0.158,0.165,-0.119,-0.272,-0.146,66.772,1.85e-10,1.17e-06
31,ATP5G1,-0.282,-0.318,-0.174,-0.245,0.158,0.239,-0.078,-0.113,-0.373,-0.355,-0.27,85.384,4.38e-14,2.81e-10
