,HumanGene,MouseGene,correlation
0,STT3B,Stt3b,0.6222392809
1,POLR1D,Polr1d,0.7524132575
2,CD81,Cd81,0.7680637026
3,ERP29,Erp29,0.6868718889
4,LY6E,Ly6e,0.8649833592
5,VIM,Vim,0.9871192294
6,ARPC2,Arpc2,0.9438010167
7,PLAC8,Plac8,0.9513793086
8,SNX5,Snx5,0.9498072505
9,IFITM2,Ifitm2,0.9319502119
10,ARPC3,Arpc3,0.9248270904
11,CNBP,Cnbp,0.9122234963
12,EIF2S3,Eif2s3x,0.6676329397
13,EIF3H,Eif3h,0.9406539261
14,NAP1L1,Nap1l1,0.7520332505
15,CDK6,Cdk6,0.9287600134
16,H3F3B,H3f3a,-0.779030591
17,BTF3,Btf3,0.9072180716
18,ACTG1,Actg1,0.9720823882
19,SET,Set,0.8056196714
20,B2M,B2m,0.9538811242
21,HINT1,Hint1,0.8797934406
22,RPS15,Rps15,0.8481009824
23,RPS19,Rps19,0.913840224
24,EEF2,Eef2,0.9732701173
25,RPL35A,Rpl35a,0.8983280878
26,NACA,Naca,0.9879834055
27,TPT1,Tpt1,0.38340039
28,RPL6,Rpl6,0.9868275654
29,RPL28,Rpl28,0.8835127116
30,RPLP0,Rplp0,0.9082737708
31,RPS9,Rps9,0.9115368208
32,RPL38,Rpl38,0.9774968769
33,RPL7,Rpl7,0.9825245642
34,RPLP2,Rplp2,0.896334293
35,RPL22,Rpl22,0.9905617601
36,RPS20,Rps20,0.9816719714
37,RPL24,Rpl24,0.936572233
38,RPSA,Rpsa,0.9020764371
39,RPL10A,Rpl10a,0.9844611803
40,RPS14,Rps14,0.9906981365
41,RPS5,Rps5,0.9436376791
42,RPS25,Rps25,0.8917866158
43,EEF1B2,Eef1b2,0.9731838904
44,RPS3,Rps3,0.9699548196
45,RPL31,Rpl31,0.9510560346
46,RPS24,Rps24,0.9564885247
47,RPL18,Rpl18,0.919716212
48,RPS18,Rps18,0.997476354
49,RPS21,Rps21,0.942527202
50,RPL27A,Rpl27a,0.9680780797
51,RPS17,Rps17,0.9221071377
52,RPL4,Rpl4,0.990591647
53,RPS2,Rps2,0.8798487364
54,RPL13,Rpl13,0.9974520436
55,RPL10,Rpl10,0.9796086842
56,RPL13A,Rpl13a,0.987069672
57,RPL7A,Rpl7a,0.9621989507
58,RPS29,Rps29,0.916424154
59,RPL15,Rpl15,0.9902449459
60,RPS28,Rps28,0.9931343519
61,RPS6,Rps6,0.9618825491
62,RPS11,Rps11,0.9970161876
63,RPL37A,Rpl37a,0.9644348996
64,EEF1A1,Eef1a1,0.9890781935
65,RPS8,Rps8,0.9241060821
66,PDLIM1,Pdlim1,0.8481981368
67,HDAC7,Hdac7,0.9814058299
68,TXNIP,Txnip,0.6754238411
69,TOP2B,Top2b,0.6620046966
70,MYC,Myc,0.9825803851
71,HNRNPDL,Hnrnpdl,0.7324580834
72,SERINC3,Serinc3,-0.6097227218
73,PABPC1,Pabpc1,-0.7039950569
74,HSP90AB1,Hsp90ab1,0.9818341119
75,COMT,Comt,-0.3455022126
76,NSA2,Nsa2,0.9450975874
77,NONO,Nono,0.8588296133
78,ZFP36L2,Zfp36l2,0.9630190855
79,ACTB,Actb,0.9408367695
80,VAPA,Vapa,0.8012868115
81,MYB,Myb,0.9097849862
82,ARID1A,Arid1a,0.8870585004
83,TRIB2,Trib2,0.7642849026
84,YWHAZ,Ywhaz,0.9543410825
85,NOA1,Noa1,0.6676048786
86,SND1,Snd1,0.9578331472
87,VDAC1,Vdac1,0.7667543014
88,TAGLN2,Tagln2,0.7541956779
89,SPN,Spn,0.9754337603
90,NPM1,Npm1,0.972224524
91,ARPP19,Arpp19,0.5628768302
92,BCL11A,Bcl11a,0.9024351316
93,RSL1D1,Rsl1d1,0.9149370657
94,ATXN7L3B,Atxn7l3b,0.643758809
95,CAPZB,Capzb,0.9735926683
96,CDK2AP1,Cdk2ap1,0.7124927874
97,MIF,Mif,0.9129074726
98,RPL23,Rpl23,0.9325268617
99,APBB1IP,Apbb1ip,0.6102295662
100,RAB14,Rab14,0.8663227864
101,TRAM1,Tram1,0.6893903956
102,LDHA,Ldha,0.9595089647
103,CSDE1,Csde1,0.8373630544
104,UBA1,Uba1,0.9323951339
105,GPX4,Gpx4,-0.1572271496
106,CLNS1A,Clns1a,0.9373921304
107,TOMM20,Tomm20,0.9247284197
108,EIF4G2,Eif4g2,0.8509758525
109,YWHAB,Ywhab,0.9865789657
110,ARGLU1,Arglu1,0.8360965608
111,DDOST,Ddost,0.6884444764
112,CLINT1,Clint1,0.9058143041
113,SSR1,Ssr1,0.7989232067
114,TMEM147,Tmem147,0.8937840408
115,VDAC2,Vdac2,0.9567420318
116,LARP1,Larp1,0.4911426311
117,HNRNPA0,Hnrnpa0,0.976813949
118,STMN1,Stmn1,0.8291391545
119,SPTSSA,Sptssa,0.7876382776
120,MRPL45,Mrpl45,-0.0503795295
121,DHRS11,Dhrs11,-0.5146437487
122,ALDOA,Aldoa,0.9580945022
123,MAPRE1,Mapre1,0.9521056599
124,NFKB1,Nfkb1,0.6602049426
125,EIF3D,Eif3d,0.8939359098
126,APOE,Apoe,-0.0627409043
127,APLP2,Aplp2,0.4826364166
128,ZNF207,Zfp207,0.775408845
129,KHDRBS1,Khdrbs1,0.8226027099
130,CBLL1,Cbll1,-0.5116511665
131,PEBP1,Pebp1,0.986613135
132,EIF4B,Eif4b,0.9804803685
133,EPS15,Eps15,0.3856950085
134,NIFK,Nifk,0.9308944962
135,MTA1,Mta1,0.8227735476
136,TMED2,Tmed2,0.4236931865
137,MRPS18B,Mrps18b,0.8011058557
138,RPN2,Rpn2,0.9047634095
139,FASN,Fasn,0.9034383753
140,GNL3,Gnl3,0.9406677198
141,LMAN1,Lman1,0.9689557779
142,TM9SF3,Tm9sf3,0.5639318203
143,IMP3,Imp3,0.9813391092
144,SEPT2,Sept2,0.4298499742
145,PSMB4,Psmb4,0.8950950557
146,TRIM28,Trim28,0.9046028405
147,HMGN1,Hmgn1,0.9035351849
148,PFN1,Pfn1,0.973542352
149,BMS1,Bms1,0.9221682938
150,TOMM70,Tomm70a,0.9449916387
151,PMF1,Pmf1,0.340392426
152,TCF25,Tcf25,0.91818558
153,TMED10,Tmed10,0.9402878657
154,XPOT,Xpot,0.9733717674
155,FAM136A,Fam136a,0.9606198486
156,TMX1,Tmx1,0.0678909625
157,CUTA,Cuta,0.8511361638
