,Gene,StatisticsValue,P-value,Adj P-value,Group6_PT_0,Group6_PT_0.01,Group6_PT_0.02,Group6_PT_0.03,Group6_PT_0.04,Group6_PT_0.05,Group6_PT_0.06,Group6_PT_0.07,Group6_PT_0.08,Group6_PT_0.09,Group6_PT_0.1,Group6_PT_0.11,Group6_PT_0.12,Group6_PT_0.13,Group6_PT_0.14,Group6_PT_0.15,Group6_PT_0.16,Group6_PT_0.17,Group6_PT_0.18,Group6_PT_0.19,Group6_PT_0.2,Group6_PT_0.21,Group6_PT_0.22,Group6_PT_0.23,Group6_PT_0.24,Group6_PT_0.25,Group6_PT_0.26,Group6_PT_0.27,Group6_PT_0.28,Group6_PT_0.29,Group6_PT_0.3,Group6_PT_0.31,Group6_PT_0.32,Group6_PT_0.33,Group6_PT_0.34,Group6_PT_0.35,Group6_PT_0.36,Group6_PT_0.37,Group6_PT_0.38,Group6_PT_0.39,Group6_PT_0.4,Group6_PT_0.41,Group6_PT_0.42,Group6_PT_0.43,Group6_PT_0.44,Group6_PT_0.45,Group6_PT_0.46,Group6_PT_0.47,Group6_PT_0.48,Group6_PT_0.49,Group6_PT_0.5,Group6_PT_0.51,Group6_PT_0.52,Group6_PT_0.53,Group6_PT_0.54,Group6_PT_0.55,Group6_PT_0.56,Group6_PT_0.57,Group6_PT_0.58,Group6_PT_0.59,Group6_PT_0.6,Group6_PT_0.61,Group6_PT_0.62,Group6_PT_0.63,Group6_PT_0.64,Group6_PT_0.65,Group6_PT_0.66,Group6_PT_0.67,Group6_PT_0.68,Group6_PT_0.69,Group6_PT_0.7,Group6_PT_0.71,Group6_PT_0.72,Group6_PT_0.73,Group6_PT_0.74,Group6_PT_0.75,Group6_PT_0.76,Group6_PT_0.77,Group6_PT_0.78,Group6_PT_0.79,Group6_PT_0.8,Group6_PT_0.81,Group6_PT_0.82,Group6_PT_0.83,Group6_PT_0.84,Group6_PT_0.85,Group6_PT_0.86,Group6_PT_0.87,Group6_PT_0.88,Group6_PT_0.89,Group6_PT_0.9,Group6_PT_0.91,Group6_PT_0.92,Group6_PT_0.93,Group6_PT_0.94,Group6_PT_0.95,Group6_PT_0.96,Group6_PT_0.97,Group6_PT_0.98,Group6_PT_0.99,Group6_PT_1
0,Fermt3,41.914,1.7377e-08,0.00047568,7.0896e-05,-0.0039492,-0.0079737,-0.01200694,-0.016053,-0.02011718,-0.02420294,-0.0283149,-0.03245759,-0.0366352,-0.0408523,-0.045113,-0.04942202,-0.05378347,-0.058202,-0.062681,-0.06722668,-0.071842,-0.076532,-0.08130005,-0.08615164,-0.09109075,-0.09612175,-0.10124904,-0.10647697,-0.11180994,-0.11725,-0.12281469,-0.12869093,-0.13528342,-0.14300588,-0.15227,-0.16349551,-0.17688986,-0.19205,-0.20847,-0.22562,-0.24298702,-0.26006,-0.27659,-0.29256151,-0.30799,-0.32289583,-0.3372732,-0.35113611,-0.36449354,-0.37735454,-0.38972814,-0.40162335,-0.41304921,-0.4240147,-0.43452896,-0.44460091,-0.45423961,-0.4634541,-0.4722534,-0.48064646,-0.4886424,-0.4962502,-0.50347899,-0.51034,-0.51683529,-0.52298,-0.52878352,-0.53425218,-0.5393959,-0.5442237,-0.54874463,-0.55296769,-0.5569019,-0.5605563,-0.56393997,-0.56706185,-0.569931,-0.5725565,-0.5749472,-0.5771123,-0.5790608,-0.58080173,-0.58234406,-0.583697,-0.5848691,-0.58587,-0.58670813,-0.587393,-0.5879334,-0.5883384,-0.5886171,-0.5887784,-0.5888315,-0.5887852,-0.58864868,-0.588431,-0.58814,-0.5877878,-0.58738049,-0.58693,-0.5864395,-0.5859239,-0.5853902,-0.5848475
1,Arpc2,40.213,3.9115e-08,0.0010692,-0.32289,-0.324095,-0.3253418,-0.3266692,-0.32812,-0.32972685,-0.33153768,-0.3335902,-0.33592476,-0.3385816,-0.341601,-0.34502,-0.34888866,-0.3532375,-0.35811,-0.36355,-0.36958746,-0.3762729,-0.38364,-0.39173859,-0.40059945,-0.41026603,-0.42077861,-0.43217748,-0.44450293,-0.45779524,-0.47209,-0.48743594,-0.50368765,-0.52052958,-0.53763126,-0.55466,-0.57129193,-0.58727194,-0.60261,-0.61734,-0.63154,-0.64523503,-0.65849,-0.67133,-0.6837676,-0.6958,-0.7074439,-0.7186986,-0.72957327,-0.74007452,-0.75020905,-0.75998352,-0.76940459,-0.77847894,-0.7872132,-0.79561414,-0.80368832,-0.81144244,-0.8188832,-0.8260172,-0.83285118,-0.8393918,-0.8456456,-0.85161947,-0.85732,-0.86275366,-0.86793,-0.87284767,-0.87752127,-0.88195484,-0.88615504,-0.89012853,-0.89388198,-0.8974221,-0.9007554,-0.9038888,-0.90682878,-0.9095821,-0.9121553,-0.9145552,-0.9167884,-0.9188616,-0.92078139,-0.92255451,-0.924188,-0.9256874,-0.92706,-0.92831344,-0.9294531,-0.9304861,-0.9314191,-0.9322587,-0.9330117,-0.9336846,-0.9342842,-0.93481711,-0.93529,-0.93571,-0.9360824,-0.93641533,-0.93671,-0.9369877,-0.9372406,-0.9374801,-0.937713
2,Zfp36l2,34.121,7.0395e-07,0.019144,0.035118,0.0287605,0.0223838,0.01596922,0.0094977,0.00295028,-0.00369196,-0.010448,-0.01733685,-0.0243774,-0.0315887,-0.03899,-0.04659932,-0.05443657,-0.06252,-0.07087,-0.0795037,-0.0884411,-0.097701,-0.10730225,-0.11726394,-0.12760499,-0.13834437,-0.14950106,-0.16109401,-0.17314221,-0.18566,-0.1986789,-0.21216508,-0.22606026,-0.2402992,-0.25482,-0.26954751,-0.28441516,-0.29931,-0.31411,-0.3287,-0.34296758,-0.35679,-0.37012,-0.38294973,-0.3953,-0.4071732,-0.4185792,-0.42952548,-0.44002008,-0.45007108,-0.45968655,-0.46887455,-0.47764314,-0.4860004,-0.49395436,-0.50151313,-0.50868475,-0.5154773,-0.5218988,-0.52795741,-0.5336611,-0.539018,-0.54403614,-0.54872,-0.55308842,-0.55714,-0.56088249,-0.56432785,-0.56748286,-0.57035558,-0.57295406,-0.57528639,-0.5773606,-0.5791848,-0.58076706,-0.5821154,-0.5832379,-0.5841426,-0.5848377,-0.5853311,-0.5856309,-0.58574521,-0.58568209,-0.58545,-0.5850558,-0.584509,-0.5838165,-0.5829872,-0.5820288,-0.5809494,-0.5797571,-0.57846,-0.577066,-0.5755834,-0.57402007,-0.572384,-0.57068,-0.5689269,-0.56712162,-0.56528,-0.5633982,-0.5614961,-0.5595779,-0.5576517
3,Spn,47.359,1.2838e-09,3.5247e-05,-0.13871,-0.1429432,-0.1471792,-0.15141257,-0.15564,-0.15986589,-0.1640832,-0.1682925,-0.17249246,-0.1766817,-0.180859,-0.18502,-0.1891721,-0.1933053,-0.19742,-0.20152,-0.20559538,-0.2096511,-0.21368,-0.2176932,-0.22167683999999999,-0.22563379,-0.22956269,-0.23346221,-0.23733103,-0.2411678,-0.24497,-0.24874996,-0.25280963,-0.25779349,-0.26436318,-0.27318,-0.28490642,-0.29989826,-0.31758,-0.33719,-0.35797,-0.37916132,-0.40003,-0.42019,-0.43964943,-0.45841,-0.47648451,-0.4938865,-0.51062688,-0.52671731,-0.54216939,-0.55699471,-0.57120489,-0.58481152,-0.5978262,-0.61026061,-0.62212627,-0.63343482,-0.6441979,-0.654427,-0.66413385,-0.67333,-0.6820271,-0.6902367,-0.69797,-0.70523991,-0.71206,-0.71843252,-0.72437885,-0.72990735,-0.73502963,-0.73975728,-0.74410191,-0.7480751,-0.7516886,-0.7549538,-0.75788244,-0.7604861,-0.7627764,-0.7647649,-0.7664632,-0.767883,-0.76903588,-0.76993338,-0.770587,-0.7710088,-0.77121,-0.77120207,-0.770997,-0.7706061,-0.7700412,-0.7693138,-0.7684355,-0.7674179,-0.7662727,-0.76501136,-0.763646,-0.76219,-0.7606471,-0.75903759,-0.75737,-0.7556561,-0.7539073,-0.7521353,-0.7503517
4,Slc22a3,34.515,5.8423e-07,0.015894,0.41646,0.4040089,0.3915044,0.37888725,0.3661,0.35308973,0.33979667,0.3261657,0.31214034,0.2976644,0.2826815,0.26714,0.25096963,0.23412794,0.21655,0.19819,0.17898404,0.1588754,0.13781,0.11572898,0.09257862,0.06830172,0.04284193,0.01614294,-0.01185157,-0.04119795,-0.071953,-0.10414755,-0.13710865,-0.16935702,-0.19937023,-0.22563,-0.24660163,-0.26135863,-0.27075,-0.27596,-0.2782,-0.27865098,-0.27849,-0.2783,-0.27813388,-0.27797,-0.2778225,-0.2776814,-0.27754989,-0.27742771,-0.27731471,-0.27721074,-0.27711562,-0.27702919,-0.2769513,-0.27688173,-0.27682037,-0.27676702,-0.2767215,-0.2766837,-0.27665343,-0.2766305,-0.2766147,-0.27660601,-0.2766,-0.27660893,-0.27662,-0.27663792,-0.27666177,-0.27669163,-0.27672734,-0.27676874,-0.27681564,-0.2768679,-0.2769253,-0.27698778,-0.27705507,-0.277127,-0.2772035,-0.2772844,-0.2773694,-0.2774584,-0.27755122,-0.27764776,-0.277748,-0.2778512,-0.277958,-0.27806731,-0.2781797,-0.2782948,-0.2784124,-0.2785323,-0.2786544,-0.2787785,-0.2789044,-0.27903205,-0.279161,-0.27929,-0.2794232,-0.27955586,-0.27969,-0.2798234,-0.2799581,-0.280093,-0.2802282
5,Nfkb1,37.333,1.5381e-07,0.0041957,0.1463,0.1360742,0.1258417,0.11559343,0.10532,0.0950175,0.08467401,0.0742829,0.06383636,0.0533263,0.0427449,0.032084,0.02133625,0.01049313,-0.0004531,-0.01151,-0.02268657,-0.0339897,-0.045428,-0.0570083,-0.06873968,-0.08062967,-0.09268621,-0.10491722,-0.11733065,-0.12993441,-0.14274,-0.15574641,-0.16902484,-0.18269019,-0.19686404,-0.21167,-0.22722356,-0.2435667,-0.26047,-0.27766,-0.29485,-0.31177285,-0.32815,-0.34386,-0.35888644,-0.37326,-0.38697736,-0.4000592,-0.41251326,-0.42435062,-0.43558226,-0.44621919,-0.45627244,-0.46575302,-0.4746719,-0.48304019,-0.49086881,-0.49816881,-0.5049512,-0.511227,-0.5170072,-0.5223028,-0.5271249,-0.53148445,-0.53539,-0.53885992,-0.5419,-0.54451737,-0.54672937,-0.5485449,-0.54997497,-0.5510306,-0.55172281,-0.5520626,-0.552061,-0.55172898,-0.55107759,-0.5501178,-0.5488608,-0.5473173,-0.5454986,-0.5434155,-0.54107912,-0.53850046,-0.535691,-0.5326603,-0.529421,-0.52598324,-0.5223583,-0.5185572,-0.514591,-0.5104705,-0.5062068,-0.501811,-0.4972941,-0.49266702,-0.487941,-0.48313,-0.4782352,-0.47327769,-0.46827,-0.4632086,-0.458119,-0.4530073,-0.4478847
6,Cmtm7,46.433,2.0011e-09,5.4909e-05,-0.15946,-0.170791,-0.1821923,-0.19373019,-0.20547,-0.21748931,-0.22984719,-0.2426151,-0.25586123,-0.2696541,-0.2840619,-0.29915,-0.3149957,-0.33165841,-0.34921,-0.36772,-0.38724966,-0.4078756,-0.42966,-0.45268053,-0.47699628,-0.50267864,-0.52979594,-0.55841652,-0.58860871,-0.62044083,-0.65398,-0.68927098,-0.72555098,-0.76115126,-0.79435237,-0.82343,-0.84667976,-0.86302214,-0.87341,-0.87916,-0.88161,-0.88209227,-0.8819,-0.88171,-0.88153485,-0.88139,-0.88126786,-0.8811702,-0.88109591,-0.88104455,-0.88101573,-0.88100903,-0.88102405,-0.88106036,-0.8811176,-0.88119527,-0.88129304,-0.88141047,-0.8815472,-0.8817027,-0.88187666,-0.8820687,-0.8822783,-0.88250509,-0.88275,-0.88300871,-0.88328,-0.88357624,-0.88388294,-0.8842044,-0.88454019,-0.88488992,-0.88525316,-0.8856295,-0.8860186,-0.88641991,-0.88683313,-0.8872578,-0.8876936,-0.88814,-0.8885966,-0.8890631,-0.88953903,-0.89002395,-0.890517,-0.8910192,-0.891529,-0.89204555,-0.8925694,-0.8930998,-0.8936363,-0.8941786,-0.8947262,-0.8952787,-0.8958357,-0.89639685,-0.896962,-0.89753,-0.8981007,-0.8986741,-0.89925,-0.8998267,-0.900405,-0.9009841,-0.9015637
7,Rpsa,71.427,1.1338e-14,3.1459e-10,-0.080706,-0.0868479,-0.0929484,-0.09896649,-0.10486,-0.11059048,-0.11611392,-0.12139,-0.1263776,-0.1310354,-0.1353222,-0.1392,-0.1426179,-0.14554438,-0.14793,-0.14975,-0.15094366,-0.1514793,-0.15131,-0.15040703,-0.1487167,-0.14620193,-0.14282151,-0.13853422,-0.13329883,-0.12707412,-0.11982,-0.11150838,-0.10260342,-0.09411736,-0.08709355,-0.082575,-0.08160595,-0.08482856,-0.091659,-0.10128,-0.11286,-0.12559825,-0.13868,-0.1517,-0.16462862,-0.17748,-0.19025481,-0.2029502,-0.21556894,-0.22811235,-0.24058177,-0.25297856,-0.26530406,-0.27755962,-0.2897466,-0.30186627,-0.31392006,-0.32590929,-0.3378353,-0.3496994,-0.36150304,-0.3732475,-0.384934,-0.39656413,-0.40814,-0.4196602,-0.43113,-0.44254644,-0.45391424,-0.46523361,-0.4765059,-0.48773246,-0.49891463,-0.5100538,-0.5211512,-0.53220827,-0.54322634,-0.5542068,-0.5651508,-0.57606,-0.5869355,-0.5977787,-0.60859093,-0.61937361,-0.630128,-0.6408556,-0.651558,-0.66223531,-0.6728902,-0.6835236,-0.6941368,-0.7047311,-0.715308,-0.7258688,-0.7364147,-0.7469472,-0.757468,-0.76798,-0.7784774,-0.78896957,-0.79945,-0.809935,-0.820411,-0.8308843,-0.8413563
8,Ptprcap,40.359,3.6489e-08,0.00099757,0.34737,0.3308524,0.3142887,0.29762642,0.28082,0.2638089,0.24655507,0.2290055,0.21111081,0.1928218,0.1740891,0.15486,0.13509558,0.11473615,0.093736,0.072045,0.04961566,0.0263971,0.0023405,-0.02260334,-0.04848383,-0.07535023,-0.10325183,-0.13223792,-0.1623578,-0.19366077,-0.2262,-0.25998756,-0.29430699,-0.32757053,-0.35814784,-0.38441,-0.40472283,-0.41809992,-0.42551,-0.42831,-0.42784,-0.42544722,-0.42246,-0.41955,-0.4167445,-0.41405,-0.41145001,-0.4089555,-0.4065605,-0.40426324,-0.40206199,-0.39995501,-0.39794054,-0.39601684,-0.3941822,-0.39243477,-0.39077291,-0.38919484,-0.3876988,-0.3862831,-0.3849459,-0.3836855,-0.3825002,-0.38138821,-0.38035,-0.37937718,-0.37847,-0.37763846,-0.37686685,-0.37615808,-0.37551041,-0.37492209,-0.37439137,-0.3739165,-0.3734958,-0.37312739,-0.37280964,-0.3725408,-0.372319,-0.3721427,-0.3720099,-0.3719191,-0.37186843,-0.37185615,-0.371881,-0.3719398,-0.372032,-0.37215617,-0.3723097,-0.3724912,-0.3726989,-0.372931,-0.3731858,-0.3734615,-0.3737565,-0.37406889,-0.374397,-0.37474,-0.3750934,-0.37545815,-0.37583,-0.3762121,-0.3765979,-0.3769871,-0.377378
9,Ifitm2,40.755,3.0203e-08,0.0008259,0.2329,0.2204693,0.2080007,0.19546149,0.18282,0.17003045,0.15706803,0.143894,0.13047306,0.11677,0.1027494,0.088376,0.07361497,0.05843051,0.042788,0.026651,0.00998492,-0.0072452,-0.025075,-0.04353963,-0.06267441,-0.0825146,-0.10309547,-0.12445229,-0.14662034,-0.16963489,-0.19353,-0.21833265,-0.24371284,-0.26894729,-0.29328987,-0.31599,-0.33631517,-0.35376864,-0.36868,-0.38152,-0.39278,-0.40292106,-0.41242,-0.42153,-0.43024507,-0.43859,-0.4465618,-0.4541712,-0.46142303,-0.46832353,-0.47487897,-0.48109563,-0.48697979,-0.49253772,-0.4977757,-0.50269997,-0.50731685,-0.51163259,-0.5156535,-0.5193858,-0.52283574,-0.5260097,-0.5289138,-0.53155451,-0.53394,-0.53607047,-0.53796,-0.53960774,-0.54102505,-0.5422165,-0.54318838,-0.54394695,-0.5444985,-0.5448493,-0.5450056,-0.54497367,-0.54475983,-0.5443703,-0.5438114,-0.5430894,-0.5422106,-0.5411811,-0.54000742,-0.53869568,-0.537252,-0.5356832,-0.533995,-0.532194,-0.5302863,-0.5282782,-0.5261759,-0.5239859,-0.5217143,-0.5193674,-0.5169515,-0.51447285,-0.511938,-0.50935,-0.5067232,-0.5040564,-0.50136,-0.4986349,-0.4958927,-0.4931381,-0.4903771
