,ExtDataFig 12 b,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
0,,,CD34hi,,,,,,,,,CD34lo,,,,,,,,,CD34neg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,d0,CD164high,89.3,81.4,80.9,88.2,90.4,74.5,94.2,87.9,86.5,10.5,18.0,19.0,11.2,9.36,21.6,5.78,12.0,13.3,0.21,0.52,0.1,0.53,0.21,3.93,0.0,0.11,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,CD164low,68.5,37.1,53.5,43.9,42.6,68.0,74.7,69.6,40.8,30.9,57.3,44.2,52.0,51.8,28.0,24.8,29.6,55.4,0.62,5.56,2.27,4.07,5.63,4.02,0.53,0.75,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,CD34+,81,79.1,71.2,79.2,77.7,74.0,85.7,79.1,73.3,17.9,19.4,26.8,19.7,20.7,22.1,13.1,19.1,24.0,1.13,1.51,2.01,1.11,1.58,3.91,1.21,1.79,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,d4 Exp,CD164high,67.4,65.5,63.3,53.9,49.8,53.9,,,,24.8,26.6,29.7,34.4,36.7,26.7,,,,7.21,7.23,6.46,11.0,12.6,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,CD164low,36.9,22.4,26.7,17.2,7.94,30.7,,,,50.4,60.3,58.1,59.0,51.1,48.6,,,,11.9,16.1,14.0,22.6,39.7,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,CD34+,56,54.7,47.2,46.6,38.6,37.0,,,,35.5,32.0,41.1,41.2,43.4,40.1,,,,7.63,12.4,11.2,11.3,16.8,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,d14 Mk,CD164high,43,24.7,47.6,36.5,47.5,51.9,28.2,34.7,53.2,52.4,66.2,48.4,53.7,47.9,42.6,55.8,58.3,41.3,3.59,7.95,3.08,8.77,3.87,4.56,15.4,6.77,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,CD164low,25.6,,7.84,3.3,,24.8,6.55,6.03,7.43,60.4,,64.4,44.1,,52.1,46.4,67.4,64.5,12.7,,26.7,51.7,,22.5,45.6,25.5,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,CD34+,43,,13.0,22.2,46.2,34.1,17.1,28.5,34.3,50.5,,65.8,54.6,47.5,57.0,55.5,61.5,56.3,5.54,,20.2,22.2,5.34,7.99,26.2,9.67,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
