,ExtDataFig 13 b,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
0,,CD164hi,,,,CD164lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MPB,52,23.6,52.2,51.8,46.3,74.9,46.3,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ExtDataFig 13 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,LIN+,,,,LIN-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CD164high,0.44,1.2,0.22,0.36,99.2,98.5,99.8,99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CD164low,0.26,0.63,0.39,1.28,99.2,99,99.5,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CD34+,0.37,0.8,0.31,0.82,99.2,98.9,99.6,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,CD34+CD38-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CD164high,18.7,14.7,17.2,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CD164low,5.09,6.94,4.42,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CD34+,12.3,8.9,11.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,CD34+CD90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CD164high,24.7,32.4,27.4,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CD164low,21.3,16.1,15.4,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CD34+,23,20.1,21.8,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,HSC,,,,,MPP,,,,,MLP,,,,,ETP,,,,,PRE B/NK,,,,,CMP/MEP,,,,,GMP,,,,,LIN+,,,,
26,CD164high,20.295,4.89,2.329,5.163,7.985,35.516,13.114,6.723,9.677,9.245,12.753,0.68,5.551,1.799,3.068,0.955,0.046,0.257,0.293,2.144,1.029,0.151,3.013,1.59,0.767,20.622,76.078,63.38,72.998,71.773,1.446,2.831,15.706,6.235,4.747,5.82,0.35,1.03,0.27,0.4
27,CD164low,8.945,1.022,1.081,1.174,1.621,18.686,3.48,3.416,1.906,2.073,19.107,0.539,2.362,1.196,1.16,3.623,0.169,0.448,1.665,1.978,1.851,0.882,2.111,4.919,3.901,34.333,87.627,66.222,77.849,76.431,7.644,4.986,21.956,10.127,11.984,3.44,0.26,0.61,0.42,1.54
28,CD34+,11.307,3.054,1.395,3.261,4.955,22.204,8.547,4.254,5.983,5.85,17.784,0.641,3.151,1.507,2.166,0.977,0.048,0.232,0.49,2.073,1.558,0.448,1.908,3.155,2.205,33.182,81.523,65.67,75.613,72.075,6.789,3.909,20.844,8.124,7.987,3.93,0.3,0.72,0.36,0.98
