,ExtDataFig 15b,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,CD34hiCD164hi,,,,,,,,,CD34hiCD164lo,,,,,,,,,CD34loCD164lo,,,,,,,,,CD34loCD164hi,,,,,,,,
2,d0,CD164high,87.2,76.9,77.8,86.8,89.2,78.7,89.1,80.0,81.6,0.21,0.73,0.0,1.42,2.36,3.05,3.65,6.77,2.56,0,0.52,0.1,0.11,0.45,1.14,0.43,0.46,0.67,12.6,21.9,22.1,11.8,8.53,17.4,7.08,12.8,15.2
3,,CD164low,0.72,1.27,0.1,0.12,0.0,0.0,3.13,3.07,4.67,64.5,32.6,51.5,42.9,41.1,70.7,67.1,65.2,35.3,34.6,65.5,48.2,57.0,58.9,29.3,29.2,31.7,59.2,0.21,0.53,0.21,0.0,0.0,0.0,0.54,0.11,0.78
4,,CD34+,45.8,64.9,42.2,63.8,59.4,42.8,53.5,45.9,61.6,33.9,12.5,28.0,15.1,17.7,36.0,31.6,32.9,11.4,14.3,10.3,20.5,14.0,17.9,12.8,11.1,14.6,16.2,5.98,12.4,9.35,7.28,5.21,8.67,3.87,6.59,10.8
5,d4 Exp,CD164high,4.22,13.0,5.32,6.6,3.15,2.45,,,,65.3,54.1,59.4,50.1,50.1,60.1,,,,29.5,31.1,33.4,39.4,45.5,35.2,,,,0.58,1.19,1.42,3.36,0.65,1.76,,,
6,,CD164low,1.02,2.64,1.33,1.27,0.47,1.53,,,,36.8,20.7,26.0,16.6,10.5,32.3,,,,59.1,69.8,67.9,77.9,85.3,61.9,,,,2.7,6.45,4.35,3.72,3.64,3.5,,,
7,,CD34+,4.03,13.2,6.84,2.39,0.72,0.68,,,,53,46.4,42.7,45.8,41.8,42.9,,,,40.5,37.8,45.6,48.3,56.1,54.5,,,,1.96,2.29,4.29,2.95,0.95,1.33,,,
8,d14 Mk,CD164high,1.63,3.24,0.89,4.91,2.73,2.62,3.22,2.62,4.0,38.3,42.8,21.5,28.5,38.8,44.8,23.8,23.8,39.0,57.7,51.5,75.5,63.9,56.4,50.3,70.1,69.1,53.4,1.38,1.55,1.31,1.96,1.15,1.22,2.45,3.67,2.66
9,,CD164low,1.61,,1.17,1.22,,2.08,2.31,0.98,0.95,24.5,,5.82,3.85,,23.8,7.42,4.51,5.29,69.7,,74.5,89.8,,64.2,81.5,84.6,84.3,3.55,,18.2,4.94,,9.17,8.59,9.59,9.11
10,,CD34+,2.72,,0.83,5.97,3.74,1.75,2.54,3.04,3.23,37.6,,11.9,18.0,38.2,28.6,17.2,19.8,23.8,56.6,,82.5,72.8,55.0,67.6,75.9,71.1,68.3,2.24,,4.41,2.48,2.22,1.03,4.11,5.42,4.0
11,d14 My,CD164high,1.45,4.83,1.57,3.0,3.96,1.09,0.86,2.39,1.54,18.3,15.6,20.0,16.7,12.4,20.5,11.9,21.7,14.7,68.5,66.6,66.5,62.2,68.8,72.3,68.0,69.6,68.8,11.3,12.3,11.6,17.6,13.7,5.36,18.6,5.88,14.6
12,,CD164low,5.44,3.44,5.6,0.18,0.7,0.62,1.42,3.89,1.66,4.51,4.48,2.26,2.01,1.08,7.32,6.55,11.5,1.97,59,61.0,59.5,80.6,72.9,86.1,78.0,72.7,77.5,30.3,30.9,31.7,16.8,25.1,5.76,13.4,11.3,18.7
13,,CD34+,1.35,,7.52,2.05,1.18,1.07,0.97,2.77,2.9,8.97,,7.74,18.0,12.8,19.3,19.8,17.6,11.8,75,,66.6,65.5,73.3,74.1,68.1,68.2,69.9,14.2,,17.5,13.2,11.3,4.72,10.9,10.9,15.0
