,ExtDataFig 16a,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,CD164high,CD164low,CD90+,CD90-,,,,,,,,,,,
1,BM #4,98.5,99.9,95.5,100,,,,,,,,,,,
2,BM #5,97.3,100,97.7,100,,,,,,,,,,,
3,BM #6,95.9,99.9,86.9,100,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
7,ExtDataFig 16b,,,,,,,,,,,,,,,
8,,CD164high,,,CD164low,,,,,,,,,,,
9,"BM #4, 5, 6",67.2,60.7,46.9,28.7,35.4,47.5,,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,,CD90+,,,CD90-,,,,,,,,,,,
13,"BM #4, 5, 6",9.1,12,5.01,81.3,75.4,87.4,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,
17,ExtDataFig 16c,,,,,,,,,,,,,,,
18,,CD164high,,,CD164low,,,CD90+,,,CD90-,,,CD34+,,
19,# of CFCs,213.75,269.25,129.75,75.75,61.5,74.75,,195.5,83.0,193,190.75,110.25,142.25,163.75,104.5
20,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,
23,ExtDataFig 16d,,,,,,,,,,,,,,,
24,,CFU-GM,,,BFU-E,,,CFU-E,,,,,,,,
25,CD164high,101,113.25,64.5,97.25,142.0,49.25,15,13.5,16.0,,,,,,
26,CD164low,60.5,51.25,39.25,13.5,10.25,27.0,1.75,0.0,8.0,,,,,,
27,CD90+,,125.25,49.25,,66.5,28.25,,2.75,5.5,,,,,,
28,CD90-,93.75,84.5,56.75,93.5,100.5,43.5,5.75,5.5,10.0,,,,,,
29,CD34+,75.25,78,46.25,61,80.75,47.5,6,4.75,10.75,,,,,,
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,
33,ExtDataFig 16e,,,,,,,,,,,,,,,
34,,EXPANSION,,,,,,,,,,,,,,
35,,CD164high,,,CD164low,,,CD90+,,,CD90-,,,CD34+,,
36,d4,5.67,5.468,5.4,3.375,1.89,2.903,5.333,6.885,,2.97,5.198,3.578,4.118,4.118,3.443
37,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,
40,ExtDataFig 16f,,,,,,,,,,,,,,,
41,,My,,,,,,,,,,,,,,
42,,CD164high,,,CD164low,,,CD90+,,,CD90-,,,CD34+,,
43,d7,9.785,13.015,12.24,6.603,3.088,8.685,9.358,11.828,,5.938,11.448,8.788,7.363,12.113,8.455
44,d11,26.45,47.25,50.748,8.003,3.06,20.57,25.645,64.5,,9.18,39.42,22.88,17.25,51.57,26.07
45,d14,46.153,122.523,81.107,8.68,3.827,26.338,56.753,117.04,,16.188,71.05,40.67,40.133,98.642,49.916
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,ExtDataFig 16g,,,,,,,,,,,,,,,
50,,Mk,,,,,,,,,,,,,,
51,,CD164high,,,CD164low,,,CD90+,,,CD90-,,,CD34+,,
52,d7,4.418,3.396,4.845,1.485,0.473,2.34,3.42,1.663,2.486,4.18,2.446,4.323,3.468,2.09,3.128
53,d11,9.9,9.969,9.419,2.475,0.8,5.638,9.763,6.256,7.219,9.9,6.944,9.625,7.067,6.463,8.388
54,d14,13.86,17.02,10.235,3.443,0.715,4.14,15.95,8.01,12.65,9.35,10.695,8.51,16.94,7.315,11.5
