,ExtDataFig 17a,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
0,,,CD34hi,,,CD34lo,,,CD34neg,,,,,,,,,,,
1,d0,CD164high,88.2,90.4,74.5,11.2,9.36,21.6,0.53,0.21,3.93,,,,,,,,,
2,,CD164low,43.9,42.6,68.0,52,51.8,28.0,4.07,5.63,4.02,,,,,,,,,
3,,CD90+,98.7,98.9,94.6,1.22,1.14,4.57,0.1,0.0,0.87,,,,,,,,,
4,,CD90-,70.3,67.8,68.8,26.5,30.5,27.8,3.13,1.77,3.5,,,,,,,,,
5,,CD34+,79.2,77.7,74.0,19.7,20.7,22.1,1.11,1.58,3.91,,,,,,,,,
6,Expansion,CD164high,53.9,49.8,53.9,34.4,36.7,26.7,11,12.6,18.6,,,,,,,,,
7,,CD164low,17.2,7.94,30.7,59,51.1,48.6,22.6,39.7,19.6,,,,,,,,,
8,,CD90+,95.8,91.9,,3.31,6.81,,0.73,1.08,,,,,,,,,,
9,,CD90-,38.4,35.0,44.6,45.8,48.3,38.6,15,15.7,16.0,,,,,,,,,
10,,CD34+,46.6,38.6,37.0,41.2,43.4,40.1,11.3,16.8,22.2,,,,,,,,,
11,Mk,CD164high,36.5,47.5,51.9,53.7,47.9,42.6,8.77,3.87,4.56,,,,,,,,,
12,,CD164low,3.3,,24.8,44.1,,52.1,51.7,,22.5,,,,,,,,,
13,,CD90+,57.4,62.3,63.2,39.8,35.5,33.8,1.94,1.37,2.2,,,,,,,,,
14,,CD90-,29.5,31.8,38.1,58.3,56.7,54.0,10.9,10.4,6.98,,,,,,,,,
15,,CD34+,22.2,46.2,34.1,54.6,47.5,57.0,22.2,5.34,7.99,,,,,,,,,
16,My,CD164high,5.24,2.21,2.98,18.1,9.21,9.2,75.9,88.1,87.4,,,,,,,,,
17,,CD164low,0.16,0.5,0.71,6.39,19.8,6.33,93,78.9,92.6,,,,,,,,,
18,,CD90+,8.45,4.87,,17,11.2,,74,83.4,,,,,,,,,,
19,,CD90-,2.09,0.68,1.49,14.1,7.57,7.43,83.3,91.3,90.9,,,,,,,,,
20,,CD34+,4.81,1.51,2.61,15.8,7.14,8.26,79,91.1,88.7,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,ExtDataFig 17b,,,,,,,,,,,,,,,,,,,
25,,,CD34+CD15+,,,CD34+CD19+,,,CD34+CD15-CD19-,,,CD34-CD15+,,,CD34-CD19+,,,CD34-CD15-CD19-,,
26,d0,CD34+ d0,0.08526,0.22563,0.11268,12.348,12.5568,14.7423,85.358,85.1508,78.5943,0,0.01067,0.01089,0.88678,1.16206,2.23245,1.12312,0.7566,3.7752
27,Expansion,CD164high,0.60769,7.26388,0.28347,8.80697,1.85948,13.5722,80.4509,82.1652,70.8675,0.044688,0.52373,0.0846,2.29026,0.1992,3.9762,6.86147,7.5779,9.9264
28,,CD164low,1.25096,9.2752,0.6747,17.5299,3.53804,14.186,61.1489,60.8124,69.373,0.012496,0.81921,0.02948,4.1008,0.77439,2.8274,13.3232,23.2815,10.4788
29,,CD90+,0.1491,0.46577,,28.0308,4.42977,,69.4806,93.5504,,0.030552,0.051057,,0.21375,0.03069,,0.31578,0.84816,
30,,CD90-,0.92872,8.95,0.33592,8.86749,1.81685,10.4312,78.3161,78.044,76.2892,0.06784,0.31928,0.01044,2.7666,0.40976,3.132,7.7274,9.6304,8.3984
31,,CD34+,0.5889,4.16835,0.3376,13.4994,4.2657,10.6344,75.2886,79.296,72.3308,0,0.17402,0.02015,2.73714,0.59777,3.4565,6.48907,10.4977,11.873
32,My,CD164high,0.12956,1.464,0.624,1.7876,0.48312,2.106,14.1696,9.2964,9.893,5.7448,15.3475,12.2529,1.79525,0.34203,5.69195,75.818,71.8263,68.5641
33,,CD164low,1.49645,7.81,0.777824,0.537165,0.63616,1.0258,6.25395,17.9204,6.69892,14.4096,22.7052,25.116,1.22208,1.27092,1.638,75.4224,47.3382,64.155
34,,CD90+,0.46899,1.25294,,2.9646,0.16432,,20.0475,13.983,,1.08864,11.9564,,5.01984,0.18524,,69.0228,71.991,
35,,CD90-,0.49776,1.7316,0.74365,5.9475,0.81141,1.7227,9.9552,6.438,7.6077,3.92496,17.5133,15.4316,4.50432,0.49784,3.122,72.8688,70.6755,70.3788
36,,CD34+,0.42244,1.0925,0.50386,2.4702,0.4693,1.8526,14.4274,6.8685,9.1096,7.667,15.7296,20.8797,1.8942,0.42488,2.07916,72.242,74.128,64.9297
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,ExtDataFig 17c,,,,,,,,,,,,,,,,,,,
41,,CD41+CD71-GPA-,,,,,,,,,,,,,,,,,,
42,CD164high,261676.8,304998.4,193646.2,,,,,,,,,,,,,,,,
43,CD164low,58591.35,,72201.6,,,,,,,,,,,,,,,,
44,CD90+,279125,147544.2,236555.0,,,,,,,,,,,,,,,,
45,CD90-,175219,198499.2,164413.2,,,,,,,,,,,,,,,,
46,CD34+,283575.6,133279.3,215280.0,,,,,,,,,,,,,,,,
