,ExtDataFig 21b,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,CD34hiCD164hi,,,CD34hiCD164lo,,,CD34loCD164lo,,,CD34loCD164hi,,
1,d0,CD164high,86.8,89.2,78.7,1.42,2.36,3.05,0.11,0.45,1.14,11.8,8.53,17.4
2,,CD164low,0.12,0.0,0.0,42.9,41.1,70.7,57,58.9,29.3,0,0.0,0.0
3,,CD90+,97.2,97.2,84.7,1.44,1.35,11.5,0.41,0.52,1.79,0.93,0.93,2.23
4,,CD90-,51.2,46.9,24.5,19.6,20.8,47.0,22.1,26.0,20.3,7.07,6.7,8.36
5,,CD34+,63.8,59.4,42.8,15.1,17.7,36.0,14,17.9,12.8,7.28,5.21,8.67
6,d4 Exp,CD164high,6.6,3.15,2.45,50.1,50.1,60.1,39.4,45.5,35.2,3.36,0.65,1.76
7,,CD164low,1.27,0.47,1.53,16.6,10.5,32.3,77.9,85.3,61.9,3.72,3.64,3.5
8,,CD90+,20.6,16.0,,74.9,75.3,,4,8.01,,0.23,0.32,
9,,CD90-,3.86,2.02,1.69,36.7,35.4,47.7,55.3,60.6,47.9,3.58,1.42,2.09
10,,CD34+,2.39,0.72,0.68,45.8,41.8,42.9,48.3,56.1,54.5,2.95,0.95,1.33
11,d14 Mk,CD164high,4.91,2.73,2.62,28.5,38.8,44.8,63.9,56.4,50.3,1.96,1.15,1.22
12,,CD164low,1.22,,2.08,3.85,,23.8,89.8,,64.2,4.94,,9.17
13,,CD90+,6.59,3.41,2.28,44.3,53.3,56.7,46.8,41.3,39.8,1.4,1.34,0.46
14,,CD90-,4.38,3.37,1.68,22.4,25.4,32.3,70.4,68.6,63.4,2.25,1.87,1.74
15,,CD34+,5.97,3.74,1.75,18,38.2,28.6,72.8,55.0,67.6,2.48,2.22,1.03
16,d14 My,CD164high,3,3.96,1.09,16.7,12.4,20.5,62.2,68.8,72.3,17.6,13.7,5.36
17,,CD164low,0.18,0.7,0.62,2.01,1.08,7.32,80.6,72.9,86.1,16.8,25.1,5.76
18,,CD90+,8.13,2.93,,21.2,24.5,,59.4,63.0,,10.6,7.56,
19,,CD90-,2.27,0.13,1.4,9.33,5.76,12.7,66.1,81.2,75.2,22.1,11.8,10.1
20,,CD34+,2.05,1.18,1.07,18,12.8,19.3,65.5,73.3,74.1,13.2,11.3,4.72
