,ExtDataFig 22a,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,PB hCD45+CD13+CD33+,,,,,,,,,
1,,CD164high,,,CD164low,,,CD34+,,,
2,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0
3,3,0.00471,0.011,0.012,0,0.0,0,0.0187,0.0425,0.032,0.0173
4,5,0.028,0.0975,0.07,0,0.0,,0,0.17996,0.1296,0.08
5,7,0.21331,0.12415,0.31025,0,0.0,,0.46458,0.84272,0.34177,0.504
6,10,0.29561,0.485052,0.81875,0.0105,0.009996,,0.673229,0.99792,0.7868,0.70525
7,14,1.273,0.537,0.994,0.072,0.0,,0.918,1.321,0.82,1.96
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,PB hCD45+CD19+,,,,,,,,,
11,,CD164high,,,CD164low,,,CD34+,,,
12,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0
13,3,0,0.0,0.0,0,0.0,0,0,0.0,0.016,0.0
14,5,0,0.0325,0.0,0.015,0.0,,0,0.0299,0.0648,0.04
15,7,0.498,0.439,0.376,0.012,0.0,,1.9,2.47,0.861,1.45
16,10,4.61,4.08,10.4,0.0105,0.08,,7.98,11.3,12.0,12.7
17,14,12.261,10.032,11.981,0.143,0.073,,10.179,25.313,10.621,17.344
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,PB hCD45+CD3+,,,,,,,,,
21,weeks,CD164high,,,CD164low,,,CD34+,,,
22,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0
23,3,0,0.0,0.0,0,0.0,0.014,0.009,0.0,0.0,0.0
24,5,0,0.0,0.0,0,0.011,,0,0.01,0.022,0.01
25,7,0,0.029,0.0,0,0.029,,0,0.015,0.016,0.032
26,10,0.01,0.03,0.029,0,0.03,,0.049,0.314,0.046,0.017
27,14,0.105,0.0,0.114,0,0.11,,0.035,2.384,0.072,0.093
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,ExtDataFig 22b,,,,,,,,,,
32,,Spleen hCD45+,,,,,,,,,
33,weeks,CD164high,,,CD164low,,CD34+,,,,
34,16,22,19.5,28.6,0.24,0.11,20.7,23.3,17.1,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,Spleen % of hCD45+ cells,,,,,,,,,
38,,CD3+,,,CD19+,,,CD33+/CD13+,,,
39,CD164high,8.56,0.19,0.5,44.7,68.3,80.5,8.17,10.3,3.48,
40,CD164low,0,0.0,,75.5,56.5,,6.12,4.35,,
41,CD34+,0.18,0.3,,68.6,82.9,37.4,7.68,10.7,,
