,Figure 3d,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
0,,HSC,,,MPP,,,MLP,,,ETP,,,PREB/NK,,,MEP,,,CD10-CD45RA+,,,CMP,,,GMP,,
1,CD135-,0.272,2.336,4.525,2.039,1.559,13.576,0.679,1.945,0.591,3.392,3.118,3.535,49.934,30.333,16.664,31.897,47.513,52.622,8.279,9.721,3.532,1.36,1.555,2.946,0.405,0.389,0.0
2,CD135+,0.909,4.636,3.612,1.546,1.435,8.114,0.496,1.125,1.171,4.259,1.432,2.134,6.104,3.106,3.1,0,0,0.0,0,0,0.0,42.695,44.485,48.836,43.299,42.993,32.125
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Figure 3e,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,My,,,,,,,,Mk,,,,,,,,Baso,,,,,,,,,,
8,days,CD135+,,,CD135-,,,,days,CD135+,,,CD135-,,,,days,CD135+,,,CD135-,,,,,,,
9,7,11.083,15.2,10.667,5.951,15.778,17.137,,7,1.623,1.76,2.496,,5.303,8.12,,7,11.4,11.6,9.722,5.417,17.661,12.333,,,,,
10,11,15.624,41.667,30.36,7.178,26.111,16.667,,11,7.922,7.822,14.951,,9.5,14.552,,11,31.211,54.448,36.464,7.7,37.784,18.7,,,,,
11,14,43.307,82.608,69.536,8.792,28.4,11.787,,14,9.022,10.88,20.279,,10.416,14.549,,14,61.333,118.333,75.911,8.313,55.982,40.524,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Figure 3f,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,My,,,,,,,,Mk,,,,,,,,Baso,,,,,,,,,,
17,,CD135+,,,CD135-,,,,,CD135+,,,CD135-,,,,,CD135+,,,CD135-,,,,,,,
18,,18,24.0,18.0,11,12.0,16.0,,,4,7,8.0,7,10,16.0,,,13,17.0,15,8,14.0,26,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Figure 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Baso/Eos diff CD135-,,,Baso/Eos diff CD135+,,,Myelo diff CD135-,,,Myelo diff CD135+,,,,,,,,,,,,,,,,,
24,Baso,14.03,7.1609,21.9008,1.7526,1.4553,3.53306,8.3844,2.00192,,3.2686,1.39707,1.7112,,,,,,,,,,,,,,,
25,CD14+,5.56,1.83,0.22,20.6,15.6,7.9,5.71,7.12,,13.2,9.96,3.02,,,,,,,,,,,,,,,
26,CD15+,26.5,25.3,5.09,47.9,34.6,16.9,44.4,36.8,,53.7,47.3,48.3,,,,,,,,,,,,,,,
